muni_id,municipality,tier,region,website,bylaw_id,bylaw_name,bylaw_link,date_enacted,expiry_date,progress_label,other_notes,exemption_status,exemption_wording,detail_id,farm_exemption,special_provision,guidelines_wording,exception_wording
99,Deseronto,Lower Tier,Hastings,http://www.deseronto.ca/,689,BY-LAW NO. 47-2023,https://ofa4-my.sharepoint.com/:w:/g/personal/claire_shepherd_ofa_on_ca/ERsO3x5qYS5Mlsqo0Ykc6-sBM_rZN0k1GjbgSYEVvbQLrw?e=JiujdB,2023-10-11,,NO BY-LAW IN PLACE,,Yes,"“Normal Agricultural Practice” includes sod-farming, greenhouse operations and nurseries for horticultural products but does not include the sale, exchange or other disposition of Topsoil.",99,Yes,Yes,"“Normal Agricultural Practice” includes sod-farming, greenhouse operations and nurseries for horticultural products but does not include the sale, exchange or other disposition of Topsoil.",The provisions of this By-law do not apply to the extent that Topsoil is removed as an incidental part of a Normal Agricultural Practice.
100,Dorion,Single Tier,Thunder Bay,http://www.doriontownship.ca/,696,,,,,NO BY-LAW IN PLACE,,,,100,,,,
101,Douro-Dummer,Lower Tier,Peterborough,http://www.dourodummer.on.ca/,703,,,,,COMPLETE,,,,101,,,,
102,Drummond-North Elmsley,Lower Tier,Lanark,http://www.drummondnorthelmsley.com/,710,BY-LAW 2012-056,https://www.dnetownship.ca/component/edocman/top-soil-removal-by-law/viewdocument/285?Itemid=0,2012-10-23,,COMPLETE,NAP acknowledged.,No,to regulate and prohibit the removal of topsoil.,102,No,No,to regulate and prohibit the removal of topsoil.,
103,Dryden,Single Tier,Kenora,http://www.dryden.ca/,717,,,,,COMPLETE,,,,103,,,,
104,Dubreuilville,Single Tier,Algoma,http://www.dubreuilville.ca/,724,,,,,COMPLETE,,,,104,,,,
105,Dufferin,Upper Tier,Dufferin,http://www.dufferincounty.on.ca/,731,,,,,NO BY-LAW IN PLACE,,,,105,,,,
106,Durham,Upper Tier,Durham,http://www.durham.ca/,738,,,,,NO BY-LAW IN PLACE,,,,106,,,,
107,Dutton-Dunwich,Lower Tier,Elgin,http://www.duttondunwich.on.ca/,745,,,,,COMPLETE,"no specific by-law for site alteration. However, this by-law discesses site alteration: https://www.duttondunwich.on.ca/en/municipal-services/resources/Planning-and-Zoning/220087-Dutton-Dunwich-Construction-Design-Standards-August-2021.pdf",,,107,,,,
108,Dysart et al,Lower Tier,Haliburton,http://www.dysartetal.ca/,752,By-Law No. 2023-101,https://www.dysartetal.ca/en/build-and-invest/Building%20Department/By-Law%202023-101%20-%20Site%20Alteration%20By-Law.pdf,2023-11-28,,COMPLETE,,No,to Regulate Site Alteration,108,No,No,to Regulate Site Alteration,
109,Ear Falls,Single Tier,Kenora,http://www.ear-falls.com/,759,,,,,COMPLETE,,,,109,,,,
110,East Ferris,Single Tier,Nipissing,http://eastferris.ca/,766,,,,,COMPLETE,,,,110,,,,
111,East Garafraxa,Lower Tier,Dufferin,http://www.amaranth-eastgary.ca/ta/a_home.htm,773,BYLAW NUMBER 14-2015,https://www.eastgarafraxa.ca/en/municipal-government/resources/By-Laws/egsitealt15.pdf,2015-04-14,,COMPLETE,Normal farm practice topsoil removal exempt.,Yes,"to regulate site alterations, placement of fill and removal of topsoil",111,Yes,No,"to regulate site alterations, placement of fill and removal of topsoil",
112,East Gwillimbury,Lower Tier,York,http://www.eastgwillimbury.ca/,780,BY-LAW # 2013-066,https://www.eastgwillimbury.ca/en/government/resources/Documents/Fill-By-law-2013-066---Updated.pdf,2018-10-02,,COMPLETE - FARM FRIENDLY,"NFP exempt. ≤200mm grade, ≤10,000m³/36mo.",Yes,to Regulate and Prohibit the Placing or Dumping of Fill and Site Alterations,112,Yes,No,to Regulate and Prohibit the Placing or Dumping of Fill and Site Alterations,
113,East Hawkesbury,Lower Tier,Prescott and Russell,http://www.easthawkesbury.ca/,787,,,,,COMPLETE,,,,113,,,,
114,East Zorra-Tavistock,Lower Tier,Oxford,https://www.ezt.ca/en/index.aspx,794,,,,,COMPLETE,,,,114,,,,
115,Edwardsburgh-Cardinal,Lower Tier,Leeds and Grenville,http://www.edwardsburghcardinal.ca/,801,,,,,COMPLETE,,,,115,,,,
116,Elgin,Upper Tier,Elgin,http://www.elgin-county.on.ca/,808,,,,,NO BY-LAW IN PLACE,,,,116,,,,
117,Elizabethtown-Kitley,Lower Tier,Leeds and Grenville,http://www.elizabethtown-kitley.on.ca/,815,,,,,COMPLETE,,,,117,,,,
118,Elliot Lake,Single Tier,Algoma,http://www.cityofelliotlake.com/,822,,,,,COMPLETE,,,,118,,,,
119,Emo,Single Tier,Rainy River,http://www.twspemo.on.ca/,829,,,,,NO BY-LAW IN PLACE,,,,119,,,,
120,Englehart,Single Tier,Timiskaming,http://www.englehart.ca/,836,,,,,COMPLETE,,,,120,,,,
121,Enniskillen,Lower Tier,Lambton,http://www.enniskillen.ca/,843,,,,,COMPLETE,,,,121,,,,
122,Erin,Lower Tier,Wellington,http://www.erin.ca/,850,"BY.LAW NUMBER 16-30
Site Alteration By-Law",https://www.erin.ca/media/1229/16-30-site-alteration.pdf,2016-05-03,,COMPLETE,no enactment/expiration date listed,Yes,"A by-law to prohibit or regulate the removal of topsoil, the placing or dumping of fill 'and the alteration of the grade of land in areas within the Town of Erin.",122,Yes,Yes,"A by-law to prohibit or regulate the removal of topsoil, the placing or dumping of fill 'and the alteration of the grade of land in areas within the Town of Erin.","The provisions of this by-law do not apply to; the removal of topsoil as an incidental part of a normal agricultural practice, including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products, provided however that this provision shall not exempt from the by-law the removal of topsoil for sale, exchange or other disposition."
123,Espanola,Single Tier,Sudbury,https://www.espanola.ca/,857,,,,,COMPLETE,,,,123,,,,
124,Essa,Lower Tier,Simcoe,http://www.essatownship.on.ca/,864,BY-LAW NO. 2019-84,https://www.essatownship.on.ca/media/lqxoo15o/2019-84-fill-bylaw-r1.pdf,2019-12-18,,COMPLETE - FARM FRIENDLY,,Yes,,124,Yes,No,,"5. EXCEPTIONS 5.2 A Bona Fide Farmer for a Bona Fide Farming Purpose carrying out an Agricultural Operation on Agricultural Lands Place or Dumping of Fill, Removing of Soil or Topsoil, Altering the Grade of Lands or storing Soil."
125,"Essex, Co",Upper Tier,Essex,http://www.countyofessex.on.ca/,871,,,,,NO BY-LAW IN PLACE,S.5.2(h) normal ag topsoil exempt.,Yes,,125,Yes,,,
126,"Essex, T",Lower Tier,Essex,http://www.townofessex.on.ca/,878,By-Law Number 1799,https://www.essex.ca/en/build/resources/By-Law-No.-1799-Fill-Permit.pdf,2019-08-06,,COMPLETE - FARM FRIENDLY,,No,to Provide for the Regulation of the Placing and/or Dumping of Fill and the Alteration of Grade and/or removal of topsoil,126,No,No,to Provide for the Regulation of the Placing and/or Dumping of Fill and the Alteration of Grade and/or removal of topsoil,
127,Evanturel,Single Tier,Timiskaming,http://www.evanturel.com/,885,,,,,NO BY-LAW IN PLACE,,,,127,,,,
128,Faraday,Lower Tier,Hastings,http://www.faraday.ca/,892,,,,,COMPLETE,,,,128,,,,
129,Fauquier-Strickland,Single Tier,Cochrane,http://www.fauquierstrickland.com/,899,,,,,NO BY-LAW IN PLACE,,,,129,,,,
130,Fort Erie,Lower Tier,Niagara,http://www.forterie.on.ca/,906,BY-LAW NO. 201-96,https://www.forterie.ca/F-S-Alteration-Bylaw-201-96.pdf,1996-10-28,,COMPLETE,Law is old but appears to still be valid.,Yes,to regulate the placing of fill and site alteration.,130,Yes,No,to regulate the placing of fill and site alteration.,"2. APPLICATION OF BY-LAW AND EXEMPTION 2.4 This by-law does not apply to or where: (g) properties are being actively farmed in their entirety and are in agricultural production, failing which a permit shall be obtained."
131,Fort Frances,Single Tier,Rainy River,http://www.fort-frances.com/,913,,,,,COMPLETE - FARM FRIENDLY,,,,131,,,,
132,French River,Single Tier,Sudbury,http://www.frenchriver.ca/,920,,,,,COMPLETE,,,,132,,,,
133,Front of Yonge,Lower Tier,Leeds and Grenville,http://www.frontofyonge.com/,927,,,,,COMPLETE,,,,133,,,,
135,Frontenac,Upper Tier,Frontenac,http://frontenacislands.ca/,941,,,,,COMPLETE,Ongoing process to create one--double check with them.,,,135,,,,
134,Frontenac Islands,Lower Tier,Frontenac,http://municipality.frontenacislands.on.ca/,934,,,,,NO BY-LAW IN PLACE,"By-law draft was deferred as of 2022, but they do have plans to pass a by-law.",,,134,,,,
136,Gananoque,Single Tier,Leeds and Grenville,http://www.gananoque.ca/,948,"BY-LAW 2016-050
Regulate Placing or Dumping of Fill or the Alteration of Grade of Land",https://www.gananoque.ca/sites/gananoque.ca/files/by-laws/2016-050%20-%20Regulate%20Placing%20or%20Dumping%20of%20Fill%20or%20the%20Alteration%20of%20Grade%20of%20Land.pdf,2016-06-07,,COMPLETE,"By-law name is not ""fill"" or ""site alteration"". Ag practice on Prime Agricultural/Rural zones exempt.",Yes,to prohibit or regulate the placing or dumping of fill or the alteration of the grade of land,136,Yes,Yes,to prohibit or regulate the placing or dumping of fill or the alteration of the grade of land,"PROHIBITIONS 2. a) No person shall remove, place or dump fill on land, or cause fill to be removed, placed or dumped on land, or alter the grade of land in the Town without having first obtained a permit issued by the Director. c) The provisions of subsection (a) of this section do not apply in those areas of the Town where: viii) fill is dumped or placed on lands zoned ""Prime Agricultural or Rural"" where there is an alteration to the grade of land as an incidental part of a commonly accepted agricultural practice;"
137,Gauthier,Single Tier,Timiskaming,https://211ontario.ca/service/81731575/gauthier-township-of-town-council/,955,,,,,NO BY-LAW IN PLACE,,,,137,,,,
138,Georgian Bay,Lower Tier,Muskoka,http://www.gbtownship.ca/,962,BY-LAW NO. 2014-72,https://georgianbay.civicweb.net/filepro/document/122141/2014-072%20To%20prohibit%20and%20regulate%20the%20placing%20or%20dumping%20or%20removal%20of%20fill%20in%20areas%20of%20the%20Township%20of%20Georgian%20Bay.pdf,2014-11-10,,COMPLETE,,No,to prohibit and regulate the placing or dumping or removal of fill in areas,138,No,No,to prohibit and regulate the placing or dumping or removal of fill in areas,
139,Georgian Bluffs,Lower Tier,Grey,http://www.georgianbluffs.on.ca/,969,,,,,COMPLETE,,,,139,,,,
140,Georgina,Lower Tier,York,http://www.georgina.ca/,976,BY-LAW NUMBER 2022-0038,https://www.georgina.ca/sites/default/files/2022-09/By-Law_2022-0038%20%28REG-1%29.pdf,2022-05-11,,COMPLETE,NAP acknowledged.,Yes,"to prohibit or regulate the removal of topsoil, the placing or dumping of fill material and the alteration of the grade of land",140,Yes,Yes,"to prohibit or regulate the removal of topsoil, the placing or dumping of fill material and the alteration of the grade of land",
141,Gillies,Single Tier,Thunder Bay,http://www.gilliestownship.com/,983,,,,,NO BY-LAW IN PLACE,,,,141,,,,
142,Goderich,Lower Tier,Huron,http://www.goderich.ca/,990,,,,,COMPLETE,,,,142,,,,
143,Gordon-Barrie Island,Single Tier,Manitoulin,http://gordontownship.manitoulin-link.com/index.h,997,,,,,COMPLETE,,,,143,,,,
144,Gore Bay,Single Tier,Manitoulin,http://www.gorebay.ca/,1004,,,,,COMPLETE,,,,144,,,,
145,Grand Valley,Lower Tier,Dufferin,http://www.eastluthergrandvalley.ca/,1011,BY-LAW # 2022-60,"https://www.townofgrandvalley.ca/media/matlmre1/2022-60.pdf#:~:text=4,law",2022-09-27,,COMPLETE,NFP acknowledged.,Yes,Being a bylaw to prohibit placing or dumping of fill or site alterations.,145,Yes,,Being a bylaw to prohibit placing or dumping of fill or site alterations.,"This by-law is not applicable to the following uses: (m) the removal of topsoil incidental as part of a normal farm practice including such removal as an incendidatal aprt of sod farming, greenhouse operations and nurseries for horticultural products, but this by-law is applicable to the removal of topsoil and removal, placement or re-placement of sub-strata for sale, exchange or other disposition."
146,Gravenhurst,Lower Tier,Muskoka,http://www.gravenhurst.ca/,1018,BY-LAW 2014-27,https://gravenhurst.civicweb.net/document/34350/,2014-03-25,,COMPLETE - FARM FRIENDLY,,No,to regulate and prohibit modifications to the landscape on properties,146,No,No,to regulate and prohibit modifications to the landscape on properties,
147,Greater Madawaska,Lower Tier,Renfrew,http://www.greatermadawaska.com/,1025,,,,,COMPLETE,,,,147,,,,
148,Greater Napanee,Lower Tier,Lennox and Addington,http://www.town.greaternapanee.on.ca/,1032,,,,,COMPLETE,,,,148,,,,
149,Greater Sudbury,Single Tier,Sudbury,http://www.city.greatersudbury.on.ca/,1039,"BY-LAW 2009-170
amended by BY-LAW 2021-118",https://www.greatersudbury.ca/sites/sudburyen/assets/content/div_clerks/documents/Regulate_Removal_of_Topsoil_Bylaw_2009-170.pdf,2021-06-29,,COMPLETE,,No,"to Regulate the Removal of Topsoil, the Placing or Dumping of Fill, and the Alteration of Grades of Land",149,No,No,"to Regulate the Removal of Topsoil, the Placing or Dumping of Fill, and the Alteration of Grades of Land",
150,Greenstone,Single Tier,Thunder Bay,http://www.greenstone.ca/,1046,,,,,COMPLETE,,,,150,,,,
152,Grey,Upper Tier,Grey,http://www.grey.ca/,1060,,,,,NO BY-LAW IN PLACE,,,,152,,,,
151,Grey Highlands,Lower Tier,Grey,http://www.greyhighlands.ca/,1053,By-law No. 2023-083,https://greyhighlands.civicweb.net/document/319965/,2023-06-21,,COMPLETE,Farm exemption in 2023-083.,Yes,to permit Site Alteration projects and to regulate the hauling of fill within the Municipality of Grey Highlands and to be known as the Site Alteration and Fill By-law,151,Yes,No,to permit Site Alteration projects and to regulate the hauling of fill within the Municipality of Grey Highlands and to be known as the Site Alteration and Fill By-law,
153,Grimsby,Lower Tier,Niagara,http://www.town.grimsby.on.ca/,1067,BY-LAW NO. 2020-44,https://www.grimsby.ca/en/town-hall/resources/Documents/2020-044-002-Fill.pdf,2020-05-19,,COMPLETE,S.15(m) NFP with active farm registration.,Yes,"to regulate the removal, placing or dumping of fill",153,Yes,No,"to regulate the removal, placing or dumping of fill","PART IV - EXEMPTIONS 15. (m) (ii) carried on by Owners or properties that have an active registration as a ""farming business"" as defined in the Farm Registration and Farms Organization Funding Act and are in good standing udner that statute"
154,Guelph,Single Tier,Wellington,http://www.guelph.ca/,1074,By-Law Number (2016)- 20097,https://guelph.ca/wp-content/uploads/Site_Alteration_Bylaw.pdf,2016-09-26,,COMPLETE,NAP acknowledged.,Yes,"1) the removal of Topsoil as an incidental part of a normal agricultural practice,
including such removal as an incidental part of sod-farming, greenhouse
operations and nurseries for horticultural products, provided however that this
provision shall not exempt from the by-law the removal of Topsoil for sale,
exchange or other disposition; ",154,Yes,Yes,for prohibiting or regulating the alteration of property.,"1) the removal of Topsoil as an incidental part of a normal agricultural practice,
including such removal as an incidental part of sod-farming, greenhouse
operations and nurseries for horticultural products, provided however that this
provision shall not exempt from the by-law the removal of Topsoil for sale,
exchange or other disposition; "
155,Guelph-Eramosa,Lower Tier,Wellington,http://www.get.on.ca/,1081,"By-law Number 22/2021
Site Alteration By-law Consolidated August 2021",https://www.get.on.ca/uploads/userfiles/files/By-laws/Consolidations/22-2021%20-%20Site%20Alteration%20By-law%20Consolidated%20August%202021.pdf,2021-05-03,,COMPLETE,NAP acknowledged.,Yes,"(c) the removal of topsoil from agricultural lands incidental to a normal
agricultural practice including such removal as an incidental part of sodfarming, greenhouse operations and nurseries for horticultural products but
does not include the removal of topsoil for sale, exchange or other disposition;",155,Yes,Yes,"A by-law to prohibit or regulate the removal
of topsoil, the placing or dumping of fill and
the alteration of the grade of land","(c) the removal of topsoil from agricultural lands incidental to a normal
agricultural practice including such removal as an incidental part of sodfarming, greenhouse operations and nurseries for horticultural products but
does not include the removal of topsoil for sale, exchange or other disposition;"
156,Haldimand,Single Tier,Haldimand,http://www.haldimandcounty.on.ca/,1088,By-law No. 1664/16,https://www.haldimandcounty.ca/wp-content/uploads/2023/08/Site-Alteration-By-law-1664-16-Consolidated-January-2020.pdf,2016-05-02,,COMPLETE,NAP acknowledged.,No,to regulate the placing or dumping of fill.,156,No,No,to regulate the placing or dumping of fill.,
157,Haliburton,Upper Tier,Haliburton,http://haliburtoncounty.ca/,1095,,,,,NO BY-LAW IN PLACE,,,,157,,,,
159,Halton,Upper Tier,Halton,http://www.halton.ca/,1109,,,,,NO BY-LAW IN PLACE,,,,159,,,,
158,Halton Hills,Lower Tier,Halton,http://www.haltonhills.ca/,1102,BY-LAW NO. 2025-0009,https://haltonhills.ic12.esolg.ca/en/your-government/By-Laws/BY-LAW%20NO.%202025-0009.pdf,2025-04-01,,COMPLETE,,Yes,A By-law to prohibit or regulate Site Alteration,158,Yes,Yes,A By-law to prohibit or regulate Site Alteration,"This By-law does not apply to: (d) the removal of topsoil as an incidental part of a normal farm practice taking place as part of an agricultural operation, provided that the removal is not for sale, exchange or disposal of the topsoil. 3. Permit Exemptions - Land Use – Rural – Agricultural Use Zoning 3.1. Notwithstanding Section 4.1 of this By-law, a site alteration permit is not required for a site alteration on a property zoned for an agriculture use within the Rural Area of the Town, that is undertaken in compliance with this By-law and provided the requirements below are met: (a) dumping, placing or removal of topsoil for an agricultural operation provided that the approved grade (or existing grade, where there is no approved grade) of the lands is not increased by more than 0.15m, there is no significant change in the direction or rate of drainage to or from adjacent lands; the site alteration does not take place within 0.6m of any property line, and the cumulative total of the topsoil to be placed or dumped pursuant to all applicable permit exemptions does not exceed in any consecutive six (6) month period 29m³; (b) the dredging of an existing pond on a property zoned for an agricultural use within the Rural Area, provided the surface area of the pond in not increased and the pond depth is not increased beyond its original depth and no piles or berms of dredged material is created adjacent to the pond. Where possible, the dredged material should be worked into adjacent fields without changing drainage patterns."
160,"Hamilton, C",Single Tier,Hamilton,http://www.hamilton.ca/,1116,By-law 2012-10,https://www.hamiltontownship.ca,2019-11-28,,NO BY-LAW IN PLACE,"Normal farm practice topsoil exempt (sod, greenhouse, nurseries).",Yes,"for Prohibiting and Regulating the Alteration of Property Grades, the Placing or Dumping of Fill, and The Removal of Topsoil.",160,Yes,Yes,"for Prohibiting and Regulating the Alteration of Property Grades, the Placing or Dumping of Fill, and The Removal of Topsoil.",Rural Area Exceptions from Permit Requirement Minor Agricultural Application Requirements
161,"Hamilton, Tp",Lower Tier,Northumberland,http://www.hamiltontownship.ca/,1123,BY-LAW 2012-10,https://acrobat.adobe.com/id/urn:aaid:sc:US:e98eb9d4-4a5b-42ee-9b86-164a9df09adf,2012-01-24,,NO BY-LAW IN PLACE,PROHEBITION WORDING: fill is dumped or placed on lands zoned Permanent Agriculture and Marginal Agriculture where there is an alteration to the grade of land as an incidental part of a commonly accepted agricultural practice.,No,,161,No,Yes,,
162,Hanover,Lower Tier,Grey,http://www.hanover.ca/,1130,,,,,COMPLETE,,,,162,,,,
163,Harley,Single Tier,Timiskaming,http://www.harley.ca/,1137,,,,,NO BY-LAW IN PLACE,,,,163,,,,
164,Harris,Single Tier,Timiskaming,https://harristownship.weebly.com/,1144,,,,,NO BY-LAW IN PLACE,,,,164,,,,
166,Hastings,Upper Tier,Hastings,http://www.hastingscounty.com/,1158,,,,,NO BY-LAW IN PLACE,,,,166,,,,
165,Hastings Highlands,Lower Tier,Hastings,http://www.hastingshighlands.ca/,1151,,,,,COMPLETE,,,,165,,,,
167,Havelock-Belmont-Methuen,Lower Tier,Peterborough,http://www.hbmtwp.ca/,1165,,,,,COMPLETE,,,,167,,,,
168,Hawkesbury,Lower Tier,Prescott and Russell,http://www.hawkesbury.ca/en/,1172,,,,,COMPLETE,,,,168,,,,
169,"Head, Clara and Maria",Lower Tier,Renfrew,http://townshipsofheadclaramaria.ca/,1179,,,,,NO BY-LAW IN PLACE,,,,169,,,,
170,Hearst,Single Tier,Cochrane,http://www.hearst.ca/,1186,,,,,COMPLETE,,,,170,,,,
171,Highlands East,Lower Tier,Haliburton,http://www.highlandseast.ca/,1193,,,,,COMPLETE,,,,171,,,,
172,Hilliard,Single Tier,Timiskaming,VALUE!,1200,,,,,NO BY-LAW IN PLACE,,,,172,,,,
174,Hilton,Single Tier,Algoma,http://www.hiltontownship.ca/,1214,,,,,NO BY-LAW IN PLACE,,,,174,,,,
173,Hilton Beach,Single Tier,Algoma,http://www.hiltonbeach.com/,1207,,,,,COMPLETE,,,,173,,,,
175,Hornepayne,Single Tier,Algoma,http://www.townshipofhornepayne.ca/,1221,,,,,COMPLETE,,,,175,,,,
176,Horton,Lower Tier,Renfrew,http://www.hortontownship.ca/,1228,,,,,COMPLETE,,,,176,,,,
177,Howick,Lower Tier,Huron,https://howick.ca/,1235,,,,,COMPLETE,,0,,177,0,0,,
178,Hudson,Single Tier,Timiskaming,http://www.harley.ca/hudson/,1242,,,,,NO BY-LAW IN PLACE,,,,178,,,,
179,Huntsville,Lower Tier,Muskoka,http://www.town.huntsville.on.ca/,1249,Community Planning Permit By-law 2022-97,https://www.huntsville.ca,2022-07-25,,COMPLETE,CPP system. Rural Precinct SA exempt outside Natural Constraint/Flood Zone. Mentions hobby farms.,,,179,,,,
182,Huron,Upper Tier,Huron,http://www.huroncounty.ca/,1270,,,,,NO BY-LAW IN PLACE,,,,182,,,,
180,Huron East,Lower Tier,Huron,http://www.huroneast.com/,1256,,,,,COMPLETE,,,,180,,,,
181,Huron Shores,Single Tier,Algoma,http://www.huronshores.ca/,1263,,,,,COMPLETE - FARM FRIENDLY,,,,181,,,,
183,Huron-Kinloss,Lower Tier,Bruce,http://www.huronkinloss.com/,1277,,,,,COMPLETE,,,,183,,,,
184,Ignace,Single Tier,Kenora,http://town.ignace.on.ca/,1284,,,,,COMPLETE,,,,184,,,,
185,Ingersoll,Lower Tier,Oxford,http://www.ingersoll.ca/,1291,,,,,COMPLETE,,,,185,,,,
186,Innisfil,Lower Tier,Simcoe,https://innisfil.ca/,1298,"BY-LAW 050-13 
As Amended by By-law 045-14",https://innisfil.ca/Modules/Bylaws/Bylaw/Download/72ff9de9-b84e-477e-8bf9-3314e2a5ea81,2014-05-21,,COMPLETE - FARM FRIENDLY,NFP exempt determined by NFPPB.,Yes,"to prohibit and regulate the placing or dumping of fill, the removal of topsoil, and the alteration of the grade of land",186,Yes,No,"to prohibit and regulate the placing or dumping of fill, the removal of topsoil, and the alteration of the grade of land",
187,Iroquois Falls,Single Tier,Cochrane,https://www.iroquoisfalls.com/home,1305,,,,,COMPLETE,,,,187,,,,
188,James,Single Tier,Timiskaming,http://www.elklake.ca/,1312,,,,,NO BY-LAW IN PLACE,,,,188,,,,
189,Jocelyn,Single Tier,Algoma,http://www.stjosephisland.net/jocelyntownship/,1319,,,,,NO BY-LAW IN PLACE,,,,189,,,,
190,Johnson,Single Tier,Algoma,http://www.johnsontwp.ca/,1326,,,,,NO BY-LAW IN PLACE,,,,190,,,,
191,Joly,Single Tier,Parry Sound,http://www.townshipofjoly.com/,1333,,,,,NO BY-LAW IN PLACE,,,,191,,,,
192,Kapuskasing,Single Tier,Cochrane,http://www.kapuskasing.ca/,1340,,,,,COMPLETE,,,,192,,,,
193,Kawartha Lakes,Single Tier,Kawartha Lakes,http://www.city.kawarthalakes.on.ca/,1347,By-Law Number 2019-105,https://www.kawarthalakes.ca/Modules/Bylaws/Bylaw/Details/db8f2545-58b3-4620-8e16-d941f7a21417,2019-07-16,,COMPLETE,NFP acknowledged. Protection of Agricultural Resources and Preservation of Drainage See link for more details as agricultural is mentioned in many sections.,Yes,"To Repeal and Replace By-law 2018-214, Being a By-law Regulating the Removal of Topsoil, Placement of Fill,and the Alteration of Grades.",193,Yes,Yes,"To Repeal and Replace By-law 2018-214, Being a By-law Regulating the Removal of Topsoil, Placement of Fill,and the Alteration of Grades.","2.0 Building and Development Exemptions A one-time Placing or Dumping of Fill within a 100 metre radius and associated with the construction of agricultural or farm buildings or structures shall be permitted, through the issuance of a Building Permit where applicable. 3.0 Agricultural Exemptions"
194,Kearney,Single Tier,Parry Sound,http://www.townofkearney.com/,1354,,,,,COMPLETE,,,,194,,,,
195,Kenora,Single Tier,Kenora,http://www.kenora.ca/,1361,,,,,COMPLETE,,,,195,,,,
196,Kerns,Single Tier,Timiskaming,https://kerns.ca/,1368,,,,,NO BY-LAW IN PLACE,,,,196,,,,
197,"Killaloe, Hagarty and Richards",Lower Tier,Renfrew,http://www.killaloe-hagarty-richards.ca/,1375,,,,,COMPLETE,,,,197,,,,
198,Killarney,Single Tier,Sudbury,http://www.municipality.killarney.on.ca/,1382,,,,,COMPLETE,,,,198,,,,
199,Kincardine,Lower Tier,Bruce,http://www.kincardine.net/,1389,,,,,COMPLETE,,,,199,,,,
200,King,Lower Tier,York,http://www.king.ca/,1396,BY-LAW NUMBER 2021-039,https://www.king.ca/sites/default/files/uploads/bylaws/2021-039%20%20-%20A%20By-law%20to%20Prohib....tion%20and%20Movement%20of%20Fill%20Consolidated%20CR%202023%2005%2031.pdf,2021-04-26,,COMPLETE,"Exception A by-law respecting the removal of topsoil does not apply to the removal of topsoil as an incidental part of a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products. Exclusion The exception in respecting the removal of topsoil as an incidental part of a normal agricultural practice does not include the removal of topsoil for sale, exchange or other disposition. “Normal Farm Practice” means a practice that, (a) is conducted in a manner consistent with proper and acceptable customs and standards as established and followed by similar agricultural operations under similar circumstances, or (b) makes use of innovative technology in a manner consistent with proper advanced farm management practices.",Yes,to prohibit and Regulate Site Alteration and Movement of Fill.,200,Yes,No,to prohibit and Regulate Site Alteration and Movement of Fill.,"Exception A by-law respecting the removal of topsoil does not apply to the removal of topsoil as an incidental part of a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products. Exclusion The exception in respecting the removal of topsoil as an incidental part of a normal agricultural practice does not include the removal of topsoil for sale, exchange or other disposition."
201,Kingston,Single Tier,Frontenac,http://www.cityofkingston.ca/,1403,BY-LAW NO. 2008-128,https://www.cityofkingston.ca/documents/10180/16904/Site+Alteration+Bylaw/5149d586-e1db-4da4-9a40-b35c0e72168d,2008-06-17,,COMPLETE,NFP acknowledged.,No,"TO PROHIBIT OR REGULATE THE PLACING OR DUMPING OF FILL, THE REMOVAL OF TOPSOIL, AND THE ALTERATION OF THE GRADE OF THE LAND.",201,No,No,"TO PROHIBIT OR REGULATE THE PLACING OR DUMPING OF FILL, THE REMOVAL OF TOPSOIL, AND THE ALTERATION OF THE GRADE OF THE LAND.",
202,Kingsville,Lower Tier,Essex,http://www.town.kingsville.on.ca/,1410,By-law 64-2025,https://www.kingsville.ca,2025-11-03,,COMPLETE,Normal ag practices exempt. Listed under commonly requested bylaws.,Yes,,202,Yes,,,
203,Kirkland Lake,Single Tier,Timiskaming,http://www.discoverkl.ca/,1417,,,,,COMPLETE,,,,203,,,,
204,Kitchener,Lower Tier,Waterloo,http://www.kitchener.ca/,1424,By-law 2010-043,https://www.kitchener.ca/en/resourcesGeneral/Documents/DSD_ENG_Site_Alteration_bylaw.pdf,2010-03-08,,NO BY-LAW IN PLACE,,Yes,Site Alteration by-law,204,Yes,No,Site Alteration by-law,"633.3.7 Agricultural practices Article 2 does not apply to a by-law respecting the removal of soil as an incidental part of a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products."
205,La Vallee,Single Tier,Rainy River,http://www.lavallee.ca/,1431,,,,,NO BY-LAW IN PLACE,,,,205,,,,
215,LaSalle,Lower Tier,Essex,http://www.town.lasalle.on.ca/,1501,By-Law No. 7080,https://acrobat.adobe.com/id/urn:aaid:sc:US:a75db036-eb62-4b06-9109-4db76a5b8104,2009-09-08,,COMPLETE,,Yes,"A by-law to prohibit and/or regulate the placing or dumping of fill, the alteration of grades and the removal of topsoil from land withtin the Town of LaSalle",215,Yes,No,"A by-law to prohibit and/or regulate the placing or dumping of fill, the alteration of grades and the removal of topsoil from land withtin the Town of LaSalle","where the removal of topsoil is an incidental part of a normal agricultural practice, including such removal as in incidental part of sod-farming, greenhouse operations and nurseries for horticultural products, but this exception does not apply to the removal of topsoil for sale, exchange or other disposition"
