Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Espanola, Tp",,,,,,,,,,,,,,,,,,,BYLAW NO 2790/17,No,,No,,No,Yes,Yes,Yes,none,2017-05-24,,https://www.espanola.ca/ModuleFile/2790_Regulate_Dogs_Cats_and_other_animals-Espanola.pdf?id=152,,,,,,,,,,,,,,,,NO,,,,,,
"Essa, Tp",BY-LAW NO. 2023 - 32,Yes,5. EXEMPTIONS AND DISCOUNTS(1) This By-law shall not apply to land that is owned by and used for the purposes of: (c) a non-residential farm building;,2023-06-21,,https://www.essatownship.on.ca/media/q4wgvpjc/2023-32-development-charges.pdf,,,,,,,BY-LAW NO. 2019-84,Yes,"5. EXCEPTIONS5.2 A Bona Fide Farmer for a Bona Fide Farming Purpose carrying out an Agricultural Operation on Agricultural Lands Place or Dumping of Fill, Removing of Soil or Topsoil, Altering the Grade of Lands or storing Soil.",2019-12-18,,https://www.essatownship.on.ca/media/lqxoo15o/2019-84-fill-bylaw-r1.pdf,BY-LAW NO. 2006 - 18amended 2023-09,Yes,"a dog that is specifically trained to work or live with domestic animals (e.g. cattle, sheep, poultry) without causing harm while aggressively repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained to and actively assists its owner(s) with herding in a bona fide farming operation for the purposes of controlling livestock on the farm.,Yes,No,Yes,Yes,NOT KNOWN,2006-03-15,,https://www.essatownship.on.ca/media/mxajvcmw/06-18-consolidated-canine-control.pdf,,No,,,,,,,,,,,,,,YES,YES,YES,YES,YES,NO,https://www.essatownship.on.ca/media/lzbhw5ie/2017-40-fences.pdf
"Essex, Co",,,,,2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,see local municipalities,,,,,,,,,,,,,,,NO,,,,,,
"Essex, Tp",By-Law Number 2384,Yes,"the development of non-residential farm buildings constructed for bona fide farm uses, which qualify as a farm business, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class;",2024-10-26,2024-08-28,https://portal.laserfiche.ca/Portal/DocView.aspx?id=416840&amp;repo=r-0001d3ce20a9,,,,,,,By-Law Number 1799,No,,2019-08-06,,https://www.essex.ca/en/build/resources/By-Law-No.-1799-Fill-Permit.pdf,By-Law Number 1966,Yes,a Dog that works and/or lives with Livestock to protect them while repelling predators and is used exclusively for that purpose.,Yes,a Dog that has been trained and is actively being used in an agricultural operation for the purposes of controlling Livestock on the farm;,Yes,No,Yes,No,NOT KNOWN,2023-03-06,,https://www.essex.ca/en/town-hall/resources/By-Laws/By-Law-No.-1966---Animal-Care-and-Control-3rd-Reading.pdf,,,,,,,,,,,,,,,,YES,YES,NO,YES,,NO,https://www.essex.ca/en/town-hall/resources/Fence_By-law_384_acc.pdf
"Evanturel, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Faraday, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 25-2016,No,,No,,No,Yes,Yes,No,NOT KNOWN,2016-06-01,,https://www.faraday.ca/wp-content/uploads/2019/11/Dog-By-Law-2016.pdf,BY-LAW NO. 18-2021Exotic Animal By-law,No,,,,,,,https://www.faraday.ca/wp-content/uploads/2021/05/Exotic-Animal-By-law.pdf,,,,,,,NO,,,,,,
"Fauquier-Strickland, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Fort Erie, Tp",By-law 20-2024,Yes,"Discretionary Exemptions 3.10 Notwithstanding the provisions of this By-law, development charges shall not be imposed with respect to:  (c) agricultural uses;",2024-01-29,,https://www2.forterie.ca/bylaws/2024-020/$FILE/020-2024%20DC%20By-law%20General%20Services.pdf,,,,,,,BY-LAW NO. 201-96,Yes,"2. APPLICATION OF BY-LAW AND EXEMPTION 2.4 This by-law does not apply to or where: (g) properties are being actively farmed in their entirety and are in agricultural production, failing which a permit shall be obtained.",1996-10-28,,https://www.forterie.ca/F-S-Alteration-Bylaw-201-96.pdf,By-law No. 73-2021,No,,No,,No,Yes,Yes,Yes,NOT KNOWN,2021-05-31,,https://www2.forterie.ca/bylaws/2021-073/$FILE/73-2021%20Animal%20By-law.pdf,By-law No. 73-2021Animal Welfare By-law,No,,,,,,,https://www2.forterie.ca/bylaws/2021-073/$FILE/73-2021%20Animal%20By-law.pdf,By-law 33-2024,Yes,"r) The Harvesting, Injuring or Destruction of Trees by a Farmer that involves the clearing of Trees for Agricultural Use on land that is owned by the Farmer doing the clearing and is part of a farm operation or farm corporation that has existed for at least three (3) years prior to such clearing; The clearing shall be carried out in accordance with Normal Farm Practices as defined in the Farming and Food Production Protection Act, 1998, S.O. 1998, c. 1, as amended, provided that;the land that is cleared is put into Agricultural Use within three (3) years of the date on which such clearing commences; the land being cleared for Agricultural Use is outside the Urban Boundary, and is designated in the Official Plan and zoned for Agricultural Use in the Zoning By-law.",2024-03-18,,https://www.forterie.ca/en/build-and-invest/resources/documents/Planning/033-2024-Being-a-By-law-to-Regulate-the-Destruction-or-Injuring-of-Trees-within-Fort-Erie-(revised).pdf,YES,YES,NO,YES,YES,NO,https://www.forterie.ca/en/build-and-invest/resources/documents/By-law-No.-71-2016.pdf
"Fort Frances, Tp",,,,,,,,,,,,,,,,,,,BY-LAW No. 50-17,Yes,a dog that works and/or lives with domestic farm animals to protect them while repelling predators and is used exclusively for that purpose;,Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposed controlling of livestock on the farm;,No,No,Yes,Yes,none,2017-10-23,,https://fortfrances.civicweb.net/filepro/documents/search/search?keywords=dog&amp;page=1&amp;location=131&amp;preview=78842,BY-LAW No. 50-17Animal Control,Yes,none,2017-10-23,,No,No,2;3;4;9,https://fortfrances.civicweb.net/filepro/document/78842/50~17%20Animal%20Control.pdf,,,,,,,YES,YES,YES,NO,NO,YES,
"French River, M",,,,,,,,,,,,,,,,,,,BY-LAW 2022-13,No,,No,,Yes,Yes,No,,NOT KNOWN,2022-04-06,,https://www.frenchriver.ca/Home/DownloadDocument?docId=6903aa4e-24c2-4121-9a33-b893605753c8,,,,,,,,,,BY-LAW 2005-37,No,,2005-07-20,,https://frenchriver.municipalwebsites.ca/ckfinder/connector?command=Proxy?=en&amp;type=Files&amp;currentFolder=%2FDocuments%2F&amp;hash=c245c263ce0eced480effe66bbede6b4d46c15ae&amp;fileName=TreeHarvestingBylaw.pdf,YES,YES,YES,YES,YES,NO,https://www.frenchriver.ca/Home/DownloadDocument?docId=8c0f9e8d-0651-4fcc-9aa4-e2340805bdfb
"Front of Yonge, Tp",,,,,,,,,,,,,,,,,,,BY-LAW  12-17,No,,No,,No,Yes,Yes,No,NOT KNOWN,2017-05-15,,https://mallorytown.ca/wp-content/uploads/2020/10/Dog-Control-By-law-2017.pdf,BY-LAW  05-21,Yes,6,2021-02-01,,No,Yes,NOT KNOWN,https://mallorytown.ca/wp-content/uploads/2021/02/Poultry-in-the-Village-of-Mallorytown-Adopted.pdf,,,,,,,YES,NO,NO,NO,NO,NO,https://mallorytown.ca/wp-content/uploads/2020/10/Fencing-By-law.pdf
"Frontenac Islands, Tp",By-Law Number 2021-20,Yes,4. Applicable Lands(2) f) a non-residential farm building;,2021-08-04,2026-08-04,https://www.frontenacislands.ca/en/municipal-government/resources/By-Laws/By-law-2021-20-Development-Charges.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Frontenac, Co",,,,,,,,,,,,,,,,,,,By-law 68-22,No,,No,,No,Yes,Yes,No,none,2022-09-23,,https://frontenac.civicweb.net/filepro/documents/search/search?keywords=animal&amp;page=1&amp;preview=237316,,,,,,,,,,,,,,,,NO,,,,,,
"Gananoque, Tp",BY-LAW NO. 2021-070,No,,2021-06-01,,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/2021-070-Establish%20a%20Development%20Charges%20By-law-01Jun2021.pdf,,,,,,,BY-LAW 2016-050Regulate Placing or Dumping of Fill or the Alteration of Grade of Land,No,"PROHIBITIONS 2. a) No person shall remove, place or dump fill on land, or cause fill to be removed, placed or dumped on land, or alter the grade of land in the Town without having first obtained a permit issued by the Director. c) The provisions of subsection (a) of this section do not apply in those areas of the Town where: viii) fill is dumped or placed on lands zoned ""Prime Agricultural or Rural"" where there is an alteration to the grade of land as an incidental part of a commonly accepted agricultural practice;",2016-06-07,,https://www.gananoque.ca/sites/gananoque.ca/files/by-laws/2016-050%20-%20Regulate%20Placing%20or%20Dumping%20of%20Fill%20or%20the%20Alteration%20of%20Grade%20of%20Land.pdf,BY-LAW NO. 2010-03,No,,No,,No,Yes,Yes,No,NOT KNOWN,2010-06-30,,https://www.gananoque.ca/sites/gananoque.ca/files/by-laws/By-law%20No.%202010-03-Animal%20Control-Consolidated-13Aug2013.pdf,By-law 2020-092Urban Hen By-law,Yes,6,2020-08-11,,No,Yes,NOT KNOWN,https://www.gananoque.ca/sites/gananoque.ca/files/by-laws/2020-092-Urban%20Hen%20By-law-11Aug2020.pdf,,,,,,,NO,,,,,,
"Gauthier, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Georgian Bay, Tp",BY-LAW 2024-054,Yes,Exemptions a) a non-residential farm building or structure;,2024-12-31,,https://georgianbay.civicweb.net/document/226808/,,,,,,,BY-LAW NO. 2014-72,No,,2014-11-10,,https://georgianbay.civicweb.net/filepro/document/122141/2014-072%20To%20prohibit%20and%20regulate%20the%20placing%20or%20dumping%20or%20removal%20of%20fill%20in%20areas%20of%20the%20Township%20of%20Georgian%20Bay.pdf,BY-LAW 2017-26,No,,No,,No,Yes,Yes,No,NOT KNOWN,,,https://www.gbtownship.ca/en/township-hall/resources/Documents/2017-26-Animal-Control-By-law.pdf,,No,,,,,,,https://www.gbtownship.ca/en/township-hall/resources/2023-By-Law/Animal-Control-By-law-2023-013.pdf,BY-LAW NO. 2014-73,No,,2014-11-10,,https://www.gbtownship.ca/en/township-hall/resources/Documents/2014-073-Tree-Cutting.pdf,NO,,,,,,
"Georgian Bluffs, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 79-2013,No,,No,,No,Yes,No,,"none(b) No person shall keep more than 3 dogs per household except lor Guide Dogs, Service Dogs, Working Dogs or Hunting Dogs, unless licensed under a kennel or breeding and boarding establishment license.",2013-09-04,,https://www.georgianbluffs.ca/en/business-development/resources/79-2013-Animal-Control.pdf,By-law Number 2024-040,No,6,2024-06-12,,,No,NOT KNOWN,"https://www.georgianbluffs.ca/media/0tbcmmhx/backyard-poultry-by-law.pdf:~:text=By,residential%20areas%20of%20the%20Township",,,,,,,NO,,,,,,
"Georgina, Tp",BYLAW NUMBER 2025-0053,Yes,3. Applicable Lands(3) a) the development of a non-residential farm building used for bona fide agricultural purposes;,2025-09-01,,https://pub-georgina.escribemeetings.com/filestream.ashx?DocumentId=19330,Georgina Stormwater Rate,Yes,,,,https://www.georgina.ca/stormwater-rate,BY-LAW NUMBER 2022-0038,Yes,,2022-05-11,,https://www.georgina.ca/sites/default/files/2022-09/By-Law_2022-0038%20%28REG-1%29.pdf,"BY-LAW NUMBER 2004-0130 (tr,3)",No,,No,,No,Yes,Yes,No,NOT KNOWN,2004-12-13,,https://www.georgina.ca/sites/default/files/page_assets/clerks_20040130li-3.pdf,BY -LAW 2022-0020 (LI-3) Urban Hens By-law,Yes,4 per lot,2022-03-30,,No,Yes,2;3;4;5,https://www.georgina.ca/sites/default/files/page_assets/bylaw_2022-0020_license_and_regulate_urban_hens_march_30_2022.pdf,,,,,,,NO,,,,,,
"Gillies, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Goderich, T",,No,,2021-10-18,2026-10-18,https://www.goderich.ca/en/doing-business/resources/Building-and-Planning/By-Law-123-2021-Development-Charges-accessible.pdf,,,,,,,,,,,,,BY-LAW NO. 63 OF 2017,No,,No,,No,Yes,Yes,No,,2017-06-19,,https://www.goderich.ca/en/town-hall-and-services/resources/Documents/By-Laws/63-2017-Animal-Control-By-Law-Accessible.pdf,,No,,,,,,,https://www.goderich.ca/en/town-hall-and-services/resources/By-Laws/63-2017-Animal-Control-By-Law-Accessible.pdf,BY-LAW NO. 82-1993,No,,1993-10-18,,,YES,YES,NO,,,NO,https://www.goderich.ca/en/town-hall-and-services/resources/By-Laws/120-2023---Amends-Fence-By-Law-36-1994.pdf
"Gordon/Barrie Island, M",,,,,,,,,,,,,,,,,,,BY-LAW 2020-05,No,,No,,No,Yes,Yes,No,NOT KNOWN,2020-04-07,,https://www.gordonbarrieisland.ca/app/download/18635185825/Animal+Control+By-Law+2020-05.pdf?t=1704212942,,,,,,,,,,,,,,,,NO,,,,,,
"Gore Bay, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2020-02,No,,No,,No,Yes,Yes,No,NOT KNOWN,2020-01-13,,https://www.gorebay.ca/uploads/file-uploads/by-laws/by-law-2020-02-licensing-and-control-of-dogs-final-copy.pdf,By-law No. 2021-16Exotic Pet By-law,No,,,,,,,https://www.gorebay.ca/uploads/file-uploads/by-laws/2021-16-exotic-pet.pdf,,,,,,,NO,,,,,,
"Grand Valley, Tp",BY-LAW NO. 2024-33,Yes,"Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: non-residential farm buildings",2024-06-11,2034-07-17,https://www.townofgrandvalley.ca/media/awbboa5n/2024-33.pdf,,,,,,,BY-LAW  2022-60,Yes,"This by-law is not applicable to the following uses:(m) the removal of topsoil incidental as part of a normal farm practice including such removal as an incendidatal aprt of sod farming, greenhouse operations and nurseries for horticultural products, but this by-law is applicable to the removal of topsoil and removal, placement or re-placement of sub-strata for sale, exchange or other disposition.",2022-09-27,,"https://www.townofgrandvalley.ca/media/matlmre1/2022-60.pdf:~:text=4,law",By-law 2022 - 10,Yes,"a Dog which is actively guarding farm animals, such as cattle or sheep, and such Dog is under the control of its Owner, who shall be a registered member of Ontario Federation of Agriculture or Christian Farmers Federation of Ontario;",No,,No,Yes,No,,none,2022-01-25,,https://www.townofgrandvalley.ca/en/town-hall/resources/Documents/By-Laws/2022-10.pdf,,No,,,,,,,,By-law 2019-10,No,,2019-02-12,,https://www.townofgrandvalley.ca/en/town-hall/resources/Documents/By-Laws/2019-10.pdf,YES,YES,YES,YES,YES,NO,https://www.townofgrandvalley.ca/media/ynkox1e1/2020-31-consolidated-july-2022.pdf
"Gravenhurst, Tp",BY-LAW NO. 2024-110,Yes,"Subject to Section 14 herein, the following types of development shall be exempt from payment of development charges:  the development of a farm building",2025-01-01,2035-01-01,https://gravenhurst.civicweb.net/document/116439/,,,,,,,BY-LAW 2014-27,No,,2014-03-25,,https://gravenhurst.civicweb.net/document/34350/,BY-LAW NO. 2018-26,Yes,"a dog that is specifically trained to work and live with domestic farm animals ( i. e. cattle, sheep) without causing them harm while aggressively repelling predators and is used exclusively for that purpose, and includes the following breeds; Akbash, Great Pyrenees, Komondor, and Maremma.",No,,Yes,No,Yes,No,"3.4 Council will consider written requests for exemptions to the maximum number of dogs in special circumstances, and when the number of dogs exceeds the maximum when Farm Working Dog( s), Livestock Guardian dog( s), Hunting dog( s) are included in the total number of dogs.",2018-03-20,,https://gravenhurst.civicweb.net/document/34965/,,,,,,,,,,BY-LAW 2014-26,Yes,"4. EXEMPTIONSc) the injury or destruction of trees, subject to the Farming and Food Production Protection Act, to continue or enlarge an agriculture operation. For the purposed of this section, agricultural operations include tree farms of any kind.",2014-03-25,,https://gravenhurst.civicweb.net/document/34349/,NO,,,,,,
"Greater Madawaska, Tp",BY-LAW 26-2022,No,,2022-04-19,2027-04-19,https://www.greatermadawaska.com/en/township-office/By-Laws/26-2022-Develompent-Charges-Option-2.pdf,,,,,,,,,,,,,BY-LAW NUMBER 9-2008 AMENDED BY 28-2018,No,,No,,No,Yes,Yes,No,NOT KNOWN,2008-04-17,,https://www.greatermadawaska.com/en/township-office/By-Laws/By-law-09-2008-Animal-Control.pdf,,No,,,,,,,https://www.greatermadawaska.com/en/township-office/By-Laws/By-law-09-2008-Animal-Control.pdf,,,,,,,NO,,,,,,
"Greater Napanee, Tp",By-law 2024-105,Yes,A non-residential farm building constructed for bona fide farm uses,2024-07-01,2034-06-01,https://www.greaternapanee.com/media/f0lnbgh1/2025-development-charges-summary-updated-jan-1-25.pdf,,,,,,,,,,,,,By-law No. 2024-0055,Yes,“Working Farm Dogs” include dogs that are used for herding or guarding livestock on a farm.,No,,Yes,No,Yes,Yes,3 (does not apply to farm dogs),2024-09-24,,"https://www.greaternapanee.com/media/g2lpd1p0/by-law-no-2024-0055-provide-for-the-licensing-registration-and-regulation-of-the-keeping-and-controlling-of-dogs.pdf:~:text=,be%20utilized%2C%20provided%20it",,,,,,,,,,,,,,,,NO,,,,,,
"Greater Sudbury, C",By-law 2024-105,No,"Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to the development of non-residential farm buildings constructed for bona fide farming uses",2024-07-01,2024-06-30,https://www.greatersudbury.ca/live/building-and-renovating/development-charges/development-charges-pdfs/dc-bylaw-2024-105/,,,,,,,BY-LAW 2009-170amended by BY-LAW 2021-118,No,,2021-06-29,,https://www.greatersudbury.ca/sites/sudburyen/assets/content/div_clerks/documents/Regulate_Removal_of_Topsoil_Bylaw_2009-170.pdf,By-law 2017-22,No,,No,,No,Yes,Yes,No,No,2017-01-10,,https://www.greatersudbury.ca/live/animal-services-and-wildlife/pdfs/animal-control-bylaw/,,No,,,,,,,,,,,,,,NO,,,,,,
"Greenstone, M",,,,,,,,,,,,,,,,,,,BY-LAW N0. 05-66,No,,No,,No,Yes,Yes,No,NOT KNOWN,2005-12-12,,https://greenstone.civicweb.net/filepro/documents/23955/?preview=24305,,No,,,,,,,https://greenstone.civicweb.net/filepro/document/24305/By-Law%2005-66%20Animal%20Control%20By-law.pdf,,,,,,,YES,YES,NO,YES,YES,NO,"https://greenstone.civicweb.net/document/24332/:~:text=Page%201%20of%206%20THE,25%2C%20as%20amended"
"Grey Highlands, M",By-law No. 2023-019,Yes,"3. APPLICABLE LANDS (2) This by-law shall not apply to land that is owned by and used for the purposes of: (e) farm buildings,where ""Farm building"" means a building or structure actually used as part of or in connection with a bona fide farming operation and includes barns, silos, and other buildings or structures ancillary to a bona fide farming operation, but excluding a residential use.",2023-02-15,,https://greyhighlands.civicweb.net/document/307767/,,,,,,,By-law No. 2023-083,No,,2023-06-21,,https://greyhighlands.civicweb.net/document/319965/,By-law No. 2021-071,No,,No,,No,Yes,No,,53.4LIMIT OF DOGS (a)No person shall keep or harbour more than three (3) dogs at any one time in a dwelling unit or on any individually conveyable land located within the boundaries of the Municipality. (b)Section 3.4 (a) shall not apply to the keeping of 2 additional hunting/working dogs,2021-07-21,,https://greyhighlands.civicweb.net/document/292927/,By-law No. 2022-055Backyard Poultry By-law,Yes,4 (for residential zone),2022-06-01,,No,No,2;3;4,https://greyhighlands.civicweb.net/document/287934/,BY-LAW  4341-06,No,,2006-11-28,,https://countyofgrey.sharepoint.com/sites/Grey_County_Site/Corporate%20Communications/Forms/AllItems.aspx?id=%2Fsites%2FGrey%5FCounty%5FSite%2FCorporate%20Communications%2FWeb%20Content%2F2024%20Public%20PDFs%2F4341%2D06%20Consolidated%20Forest%20Management%20By%2DLaw%20as%20Amended%20by%20By%2DLaws%204443%2D07%2C%204515%2D08%2C%204652%2D10%20and%20%204734%2D11%2Epdf&amp;parent=%2Fsites%2FGrey%5FCounty%5FSite%2FCorporate%20Communications%2FWeb%20Content%2F2024%20Public%20PDFs&amp;p=true&amp;ga=1https://countyofgrey.sharepoint.com/sites/Grey_County_Site/Corporate Communications/Forms/AllItems.aspx?id=%2Fsites%2FGrey%5FCounty%5FSite%2FCorporate%20Communications%2FWeb%20Content%2F2024%20Public%20PDFs%2F4341%2D06%20Consolidated%20Forest%20Management%20By%2DLaw%20as%20Amended%20by%20By%2DLaws%204443%2D07%2C%204515%2D08%2C%204652%2D10%20and%20%204734%2D11%2Epdf&amp;parent=%2Fsites%2FGrey%5FCounty%5FSite%2FCorporate%20Communications%2FWeb%20Content%2F2024%20Public%20PDFs&amp;p=true&amp;ga=1,NO,,,,,,
"Grey, Co",By-Law 5128-22,Yes,(e),2022-01-01,2027-01-01,https://acrobat.adobe.com/id/urn:aaid:sc:US:8aa0b956-6bbc-4a74-a604-e96106cfb46e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW  4341-06,No,,2006-11-28,,https://countyofgrey.sharepoint.com/sites/Grey_County_Site/Corporate%20Communications/Forms/AllItems.aspx?id=%2Fsites%2FGrey%5FCounty%5FSite%2FCorporate%20Communications%2FWeb%20Content%2F2024%20Public%20PDFs%2F4341%2D06%20Consolidated%20Forest%20Management%20By%2DLaw%20as%20Amended%20by%20By%2DLaws%204443%2D07%2C%204515%2D08%2C%204652%2D10%20and%20%204734%2D11%2Epdf&amp;parent=%2Fsites%2FGrey%5FCounty%5FSite%2FCorporate%20Communications%2FWeb%20Content%2F2024%20Public%20PDFs&amp;p=true&amp;ga=1,NO,,,,,,
"Grimsby, Tp",BY-LAW NO. 21-14,Yes,"3. 5 ExemptionsNotwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: (b) Bona fide farm (non-residential) buildings including wholesale greenhouse facilities and structures,where “farm building” means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use and would include wholesale greenhouse facilities and structures;",2021-03-22,2026-03-22,https://www.grimsby.ca/en/doing-business/resources/Documents/Public-Works-documents/DC-Study-docs/Development-Charge-By-law-21-14-Unsigned.pdf,,,,,,,BY-LAW NO. 2020-44,Yes,"PART IV - EXEMPTIONS15. (m) (ii) carried on by Owners or properties that have an active registration as a ""farming business"" as defined in the Farm Registration and Farms Organization Funding Act and are in good standing udner that statute",2020-05-19,,https://www.grimsby.ca/en/town-hall/resources/Documents/2020-044-002-Fill.pdf,By-law No. 10-06,No,,No,,No,Yes,No,,NOT KNOWN,2012-06-04,,https://www.grimsby.ca/en/town-hall/resources/Documents/To-regulate-animal-care-and-control-in-the-Town-of-Grimsby-By-Law-No.-10-06-FINAL.pdf,,No,,,,,,,,,,,,,,NO,,,,,,
"Guelph, C","By-law Number (2024) – 20866, asamended by (2024) – 20997",No,NO MENTION OF AGRICULTURE (CITY),2024-03-02,2034-03-02,https://guelph.ca/wp-content/uploads/Development-Charges-Bylaw.pdf,By-law Number (2023) - 20839,No,Monthly charge: $8.80,2024-01-01,,https://guelph.ca/wp-content/uploads/Stormwater-Fees-Charges-Bylaw.pdf,By-Law Number (2016)- 20097,,,2016-09-26,,https://guelph.ca/wp-content/uploads/Site_Alteration_Bylaw.pdf,By-law Number (2016)-20122 Animal Control Bylaw,No,,No,,No,Yes,Yes,No,none,2016-12-19,,https://guelph.ca/wp-content/uploads/animalcontrolbylaw.pdf,By-law Number (2016)-20122 Animal Control Bylaw,Yes,"10 unless they are kept at all times in a pen that: a) Has a coop with a solid floor that is lined with an appropriate material to absorb fecal matter and facilitate cleaning, and is disinfected regularly; and b) Complies in all respects with the City’s Zoning By-law.",2016-12-19,,No,,NOT KNOWN,https://guelph.ca/wp-content/uploads/animalcontrolbylaw.pdf,By-law Number (2025) – 21059,No,,2025-04-25,,https://pub-guelph.escribemeetings.com/filestream.ashx?DocumentId=61385,YES,YES,YES,,,,https://guelph.ca/living/house-and-home/fences/
"Guelph/Eramosa, Tp",By-Law Number 28/2023,Yes,"Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to: he development of non-residential farm buildings constructed for bona fide farming uses",2024-09-16,2035-09-15,https://www.get.on.ca/uploads/userfiles/files/28-2023%20-%20Water%20Services%20DC%20By-law(1).pdf,,,,,,,By-law Number 22/2021Site Alteration By-law Consolidated August 2021,No,,2021-05-03,,https://www.get.on.ca/uploads/userfiles/files/By-laws/Consolidations/22-2021%20-%20Site%20Alteration%20By-law%20Consolidated%20August%202021.pdf,By-law Number 80/2016Dog by-Law,No,,No,,No,Yes,Yes,No,NOT KNOWN,2016-12-05,,https://www.get.on.ca/uploads/userfiles/files/By-laws/Consolidations/080-2016%20Dog%20Control%20By-law%20(Consolidated%2008_09_2021).pdf,By-law Number 04/2025,Yes,10,,,,No,7,"https://www.get.on.ca/uploads/userfiles/files/By-laws/2025/Domestic%20Poultry%20By-law%2025-04.pdf:~:text=The%20Corporation%20of%20the%20Township,within%20the%20Township%20of%20Guelph%2FEramosa",BY-LAW NUMBER 5115-09Forest Conservation By-law,,,,,https://www.wellington.ca/en/government/resources/Bylaw5115-09.pdf,YES,NO,NO,YES,YES,NO,https://www.get.on.ca/uploads/userfiles/files/By-laws/2023/047-2023%20-%20Fencing%20by-law.pdf
"Haldimand, Co","By-law Number 2042/19,amended: By-law Number 2422/23",Yes,"Exemptions From Development Charges9. Notwithstanding any other provision of this by-law, the following types of development are exempted from any development charges under this by-law: c) farm building constructed for bona fide farm uses,where “farm building” means that part of a bona fide farm operation encompassing barns, silos, and other ancillary development to an agricultural use that will be assessed in the Farmland Realty Tax Class by the Municipal Property Assessment Corporation, excluding: a residential, commercial, or an industrial use, including (but not limited to) cannabis retail, processing, or production facilities, and retail-related greenhouses.",2023-05-08,,"https://www.haldimandcounty.ca/wp-content/uploads/2020/03/Development-Charges-By-law-2042-19.pdf,%0d%0ahttps:/www.haldimandcounty.ca/wp-content/uploads/2023/05/Development-Charges-Amendment-By-law-2422-23.pdf",,,,,,,By-law No. 1664/16,No,,2016-05-02,,https://www.haldimandcounty.ca/wp-content/uploads/2023/08/Site-Alteration-By-law-1664-16-Consolidated-January-2020.pdf,By-law No.1396/13,No,,No,,No,Yes,Yes,Yes,Other,2013-09-23,,https://www.haldimandcounty.ca/wp-content/uploads/2018/04/Animal-Control-By-law-1396-13.pdf,,No,,,,,,,https://www.haldimandcounty.ca/wp-content/uploads/2018/04/Animal-Control-By-law-1396-13.pdf,By-law Number 2204/20,No,"5. EXEMPTIONS5.14 the Injuring or Destruction of Trees regulated as noxious weeds by the Ontario Ministry of Agriculture, Food and Rural Affairs;",2020-10-13,,https://www.haldimandcounty.ca/wp-content/uploads/2020/10/Forest-Conservation-By-law-2204-20.pdf,YES,YES,YES,YES,YES,YES,https://www.haldimandcounty.ca/government-administration/by-laws-and-policies/by-law-directory/fence-by-law/
