Municipality,County,Extraction Status,Source URL,NEW_bylaw_name,NEW_date_enacted,NEW_progress_label,NEW_has_lgd_definition,NEW_lgd_definition,NEW_has_herding_def,NEW_herding_definition,NEW_exempt_license_fees,NEW_collar_tag_req,NEW_barking_restrictions,NEW_exempt_barking,NEW_dog_limit,NEW_notes,OLD_bylaw_name,OLD_date_enacted,OLD_progress_label,OLD_has_lgd_definition,OLD_lgd_definition,OLD_has_herding_def,OLD_herding_definition,OLD_exempt_license_fees,OLD_collar_tag_req,OLD_barking_restrictions,OLD_exempt_barking,OLD_dog_limit,DB_bylaw_id
Minto,Wellington,SUCCESS,,By-Law 2019-39,,COMPLETE,No,,No,,No,"The Town shall supply the owner with a dog tag and the owner shall always keep the tag securely affixed on the dog when the dog is off the property of the owner. No person shall remove the tag from a licensed dog, except while the dog is being lawfully used for hunting.",Yes,No,"3 dogs per household (Keeping 4 to 25 dogs requires a Kennel license, which mandates a 10-acre minimum lot size).","Standard animal control bylaw. While the tag can be removed when a dog is lawfully used for hunting, there are no specific definitions, exemptions, or tag removal privileges mentioned for livestock guardian or herding dogs.",By-Law 2019-39,2019-04-16,COMPLETE,No,,No,,No,Yes,Yes,No,3,1782
Milton,Halton,SUCCESS,,By-law No. 090-2004,,COMPLETE,No,,No,,No,Every Owner of every dog shall renew his or her dog license once every calendar year. This section does not apply to a microchipped dog that has obtained a microchip dog tag.,No,N/A,3 dogs per premises (more than 3 dogs requires a kennel license as defined in the Business Licensing By-law).,"Standard animal control bylaw. The bylaw’s title indicates it regulates animals ‘OTHER THAN FARM ANIMALS’, but it does not classify working dogs or LGDs as farm animals. No farm-friendly dog provisions found. Barking is handled under a separate Noise By-law.",BY-LAW 90-2004,2004-10-25,COMPLETE - FARM FRIENDLY,No,"“domestic farm animal” shall mean an animal kept by a person for animal husbandry, or for its pelt, wool or fur or for food or research purposes, and includes, but is not limited to, domesticated ungulates of the families Artiodactylus, and Perissodactylus, Anseriformes, Galliformes, Gallus Gallus, and Ratite Birds as outlined in Schedule “B” to this By-law.",No,,No,Yes,No,N/A,8 any combination of eight (8) dogs or cats in a Rural Area,1768
Mulmur,Dufferin,SUCCESS,,By-law No. 53-2019,2019-11-06,COMPLETE,No,,No,,No,All dogs must be licensed and bear a tag. Alternative identification (like tattoos/microchips) can be provided on the application.,Yes,No,No person shall keep more than three dogs in Dwelling - Single unit within the Township on all zoned properties.,Standard animal care and control by-law. No LGD or working dog exemptions were found.,BY-LAW NO. 53.19,2019-11-06,COMPLETE,No,,No,,No,Yes,Yes,No,3,1845
Meaford,Grey,SUCCESS,,By-law Number 78-2013,,COMPLETE - FARM FRIENDLY,Yes,"“Working Dog” shall mean a dog trained, kept and utilized for work purposes including, but not limited to, livestock handling and/or guarding, pest and predator control, recreation dog sled use and police or rescue dogs;",No,,No,Every owner shall affix to his dog a current license tag issued by the Municipality... and shall keep such tag affixed on the dog at all times when the dog is not on the owner’s property.,Yes,No,No owner shall have more than three (3) dogs in any dwelling unit. Keeping more than 3 dogs requires a Kennel license.,"Favourable to farm dogs. Defines ‘Working Dog’ to explicitly include livestock handling, guarding, and predator control. A ‘Personal Use Kennel’ license can be obtained to keep more than 3 dogs for specific purposes, explicitly including ‘predator control’.",BY-LAW NUMBER 078-2013,2013-10-28,COMPLETE,Yes,"""Working Dog"" shall mean a dog trained, kept and utilized for work purposes including, but not limited to, livestock handling and/or guarding, pest and predator control, recreation dog sled use and police or rescue dogs;",No,,No,Yes,No,N/A,3,1726
Niagara-on-the-Lake,Niagara,SUCCESS,,By-law No. 5543-23,,COMPLETE,No,,No,,N/A,Requires a system of licences under section 11(3).,Yes,No,3 dogs (4 or more dogs constitutes a Kennel).,A comprehensive animal care and control by-law with detailed standards for tethering and sheltering. Explicitly restricts excessive barking for more than 30 mins during the day or 20 mins at night. Does not include provisions or exemptions for working dogs or LGDs.,BY-LAW NO. 5543-23,2023-11-23,COMPLETE,No,,No,,No,Yes,Yes,No,3,1915
Mono,Dufferin,SUCCESS,,Bylaw No. 2002-62,,COMPLETE,No,,No,,Yes,Guard dogs are required to be licenced and wear a tag.,Yes,No,A maximum of 3 dogs are permitted on any property not licenced as a kennel.,"URL NOT ACCESSIBLE. CivicWeb portal blocked web crawlers. Based on municipal meeting highlights from 2024, Mono recently reviewed its dog bylaw regarding Livestock Guardian Dogs, and the Town’s dog licensing portal provides a fee exemption ($0.00) for ‘Guard Dogs’, but the exact text and definitions from the bylaw could not be verified.","BY-LAW NUMBER NO. 2002-62
amended up to 2019",2019-05-14,COMPLETE - FARM FRIENDLY,No,,No,,No,Yes,Yes,No,3,1803
Lincoln,Niagara,SUCCESS,,BY-LAW NO. 2019-18,2019-02-19,COMPLETE,No,,No,,No,Requires registration and an identification tag.,Yes,No,3 dogs per household (keeping 4 to 10 dogs constitutes a Hobby Kennel or Commercial/Breeding Kennel).,"Standard animal care and control bylaw. No agricultural or working dog definitions found, other than ‘Service Dog’.",BY-LAW NO. 2019-18,2019-02-19,COMPLETE,No,,No,,No,Yes,No,N/A,3,1544
North Dundas,"Stormont, Dundas and Glengarry",SUCCESS,,Bylaw No. 2023-100,2023-12-11,COMPLETE - FARM FRIENDLY,Yes,“Working Dog” means a dog that is trained specifically to assist police and other law enforcement personnel in their work.,No,,Yes,"Every owner of a dog shall keep an identification tag, securely affixed on the collar or harness on the dog at all times or have the dog microchipped. The tag may be removed while a dog is being lawfully used for hunting, herding or other similar activity.",Yes,No,"4 dogs in the Rural Area, 3 dogs in the Urban Area.","The municipality no longer requires municipal dog tags or license fees for individual dogs, requiring only personal identification tags or microchips. Tags may be removed while dogs are actively herding or hunting. A higher limit of 4 dogs applies in rural areas compared to 3 in urban areas. The definition of ‘Working Dog’ is strictly limited to law enforcement dogs, but the herding tag exemption is farm friendly.",BYLAW No. 2023-100,2023-12-11,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,4 7.4 No person shall keep or allow to be kept in the Rural Area of the Municipality more than four (4) dogs but not applicable to dogs less than 6 months old.,1964
Oakville,Halton,SUCCESS,,BY-LAW NUMBER 2018-006,,COMPLETE,No,,No,,No,Every dog licensed under this by-law shall have their Oakville identification tag securely attached to the dog at all times.,No,N/A,"Maximum of 3 dogs per premises, or any combination of six (6) dogs and cats maximum.",Urban animal control by-law with comprehensive regulations on standards of care and an administrative penalty system. No farm dog or livestock guardian dog definitions/exemptions. Barking/noise is regulated under a separate Noise By-law.,BY-LAW NUMBER 2018-006,2018-04-03,COMPLETE,No,,No,,No,Yes,No,N/A,3,2041
Northern Bruce Peninsula,Bruce,SUCCESS,,BY-LAW NO. 2019-08,,COMPLETE - FARM FRIENDLY,Yes,"“Working/Livestock Guardian Dog” means a dog that is specifically trained to work and/or live with domestic farm animals (i.e. cattle, sheep, goats, etc.) without causing them harm while aggressively repelling predators.",No,,No,The dog owner shall keep the metal tag securely fixed on the dog at all times or until the tag is renewed or replaced except when the dog is engaged in a lawful hunting activity.,Yes,No,"2 dogs per household, but up to 5 dogs per agricultural location.","Farm-friendly bylaw. It features a specific definition for 'Working/Livestock Guardian Dog' and sets a higher limit of 5 dogs per agricultural location (compared to 2 dogs for a standard household). LGDs are subject to a separate annual block fee ($100 for up to 5 dogs) rather than individual standard tag fees, and are exempt from 'running at large' provisions while actively working on their owner’s premises. However, the by-law explicitly states working/livestock guardian dogs are not entirely exempt from the Animal Control By-law itself.",BY-LAW NO. 2019-08,2019-02-11,NO BY-LAW IN PLACE,Yes,"a dog that is specifically trained to work and/or live with domestic farm animals (i.e. cattle, sheep, goats, etc.) without causing them harm while aggressively repelling predators.",No,,No,Yes,Yes,Yes,"5 iii. Notwithstanding Section 6(e)(i)(ii), no person shall keep more than the number of dogs unless they have been deemed as “Working/Livestock Guardian Dogs” wherein a maximum of five (5) dogs are permitted per agricultural location.",2013
Russell,Prescott and Russell,SUCCESS,,By-law 2018-062,,COMPLETE,No,,No,,No,All dogs must be registered and always wear their dog tag. The tag is issued by the Director and must be securely affixed to the dog.,Yes,No,Households within village limits are permitted two (2) dogs. Households outside village limits are permitted three (3) dogs.,"Standard animal care and control by-law. There is a general limit difference based on zoning (3 dogs permitted outside village limits vs. 2 inside village limits), but there are no specific definitions or exemptions for livestock guardian dogs or working farm dogs.",BY-LAW 2018-062,2022-01-22,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,"2 within the boundaries of the villages (Embrun, Russell, Marionville and Limoges) 3 otherwise",2391
North Middlesex,Middlesex,SUCCESS,,By-law 090 of 2022,,COMPLETE - FARM FRIENDLY,Yes,"“Livestock Guardian Dog” (LGD) shall mean a dog that works and/or lives with domestic farm animals such as cattle, sheep and poultry to protect them while repelling predators and is used on land legally used for exclusively for that purpose.",Yes,“Herding Dog” means a dog that has been trained and is actively being used on land legally used for a bona fide farming operation for the purposes of controlling livestock on the farm.,Yes,"The Municipality issues Dog Tag Licences (no annual fees, just a nominal one-time processing fee of $10.00). The Dog Tag must be worn by the animal at all times.",Yes,No,"Maximum 2 dogs per dwelling unit or premises. Exemption: ""Notwithstanding section 3.1 of this by-law, more than two (2) livestock guardian dogs and/or herding dogs may be licensed for lawful livestock operations on agricultural premises.""","Highly farm-friendly by-law. Includes explicit definitions for both 'Livestock Guardian Dog' and 'Herding Dog', and completely exempts them from the two-dog limit provided they are on agricultural premises and a clearly visible warning sign is posted at the entrance(s).",By-Law No. 090 of 2022,2022-09-07,NO BY-LAW IN PLACE,Yes,"a dog that works and/ or lives with domestic farm animals such as cattle, sheep and poultry to protect them while repelling predators and is used on land legally used for exclusively for that purpose.",Yes,a dog that has been trained and is actively being used on land legally used for a bona fide farming operation for the purposes of controlling livestock on the farm.,Yes,No,Yes,Yes,"3.4. Livestock Guardian Dogs and Herding Dogs Notwithstanding section 3.1 of this by-law, more than two (2) livestock guardian dogs and/or herding dogs may be licensed for lawful livestock operations on agricultural premises. Where Livestock Guardian Dogs are present at a premise, post in a conspicuous place at the entrance(s) of the owner’s premises a clearly visible sign warning of the presence of Livestock Guardian Dog(s).",1985
Port Hope,Northumberland,SUCCESS,,By-law No. 60/2022,2022-09-06,COMPLETE - FARM FRIENDLY,Yes,"“Working Dog” shall mean any of various breeds of dogs developed or trained to perform useful work to assist humans (i.e. herding animals, pulling wagons or sleds, livestock guardian, or guarding property) and excludes hunting dogs.",No,,No,Every dog Owner shall cause a dog tag to be securely affixed on the dog at all times (until the tag needs replaced).,No,N/A,"Maximum of 3 dogs on a single detached dwelling. Exemption: Sections 3.8.1 and 3.8.2 shall not apply to a property which is zoned Agricultural, a property possessing a valid kennel license, an approved business and/or veterinary offices.","Farm-friendly bylaw. Defines ""Working Dog"" broadly to include both livestock guardians and herding dogs. Explicitly exempts properties zoned as Agricultural from the 3-dog limit, making it favourable for farming operations. Noise/barking is enforced under a separate noise by-law.",BY-LAW NO. 60/2022,2022-09-06,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,"none 3.8 No person shall have, retain, harbor or have possession of: 3.8.1 more than three (3) dogs within or about any single detached dwelling; or; 3.8.3 Sections 3.8.1 and 3.8.2 shall not apply to a property which is zoned Agricultural, a property possessing a valid kennel license, an approved business and/or veterinary offices.",2279
Orangeville,Dufferin,SUCCESS,,By-law Number 2024-026,2024-04-29,COMPLETE,No,,No,,No,An owner of a dog shall keep the tag issued by the Town securely fixed on the dog it was issued at all times. No person shall affix a tag to any dog other than the dog for which it was issued; or remove a tag except to replace it with a current or valid tag.,Yes,No,"No person shall keep or harbour or permit to be kept or harboured at any one time, more than three (3) dogs on a property or per dwelling unit.","Standard urban animal control by-law. While there are specific definitions and licensing exemptions for Service Dogs and Police Working Dogs, there are no definitions or exemptions for farm dogs, herding dogs, or livestock guardian dogs.",BY-LAW NUMBER 2024-026,2024-04-01,COMPLETE,No,,No,,No,Yes,Yes,No,3,2069
Quinte West,Hastings,SUCCESS,,By-Law 15-034,,COMPLETE - FARM FRIENDLY,No,,No,,No,Every dog owner within the City’s limits shall obtain a dog licence annually by the first day of January of each year.,Yes,No,"No person shall harbour more than three (3) dogs in an urban area, and no more than five (5) dogs in a rural area.","Note: The document linked in the prompt (16-139) is the Animal Regulation By-law primarily dealing with exotic/prohibited animals. Dog control is governed by the Dog Licensing and Control By-law (15-034). It is farm-friendly because it explicitly allows a higher limit of 5 dogs in rural areas compared to 3 dogs in urban areas, though there are no specific LGD definitions.",ByJaw Number l6-139,2016-11-07,COMPLETE,No,,No,,No,Yes,Yes,No,5 (in Rural Zones),2328
Scugog,Durham,SUCCESS,,By-Law Number 85-08,2008-10-06,COMPLETE - FARM FRIENDLY,Yes,"Working/Livestock Guardian Dog - shall mean a dog that is specifically trained and actively being used in a bona-fide farming operation, to work and/or live with domestic farm animals (i.e. cattle, sheep, etc.) to protect and/or control them while aggressively repelling predators and is used exclusively for that",No,,No,"Working/Livestock Guardian Dogs shall be exempt from wearing a collar or tag, provided that the Owner has paid the annual licensing fee, registered said dog with the Township and provided identifying information for the dog from a registered micro-chip.",Yes,Yes,"Maximum of 2 dogs per household. Exemption: ""Notwithstanding the limit set forth in Section 5.2.1, a person may own, harbor, keep or permit to be kept an additional three (3) dogs at a premise provided the dogs are working/livestock guardian dogs.""","Extremely farm-friendly by-law, incorporating recent amendments. It specifically defines Working/Livestock Guardian Dogs, exempts them from wearing collars/tags while working (provided they are microchipped and licensed), and exempts them from noise/barking bylaw provisions while actively engaged in their duties. It also increases the limit from 2 dogs to 5 dogs strictly to accommodate 3 additional working/livestock guardian dogs for owners with domestic farm animals.","BY-LAW NUMBER 85-08
amended 2012",2008-10-06,COMPLETE,No,,No,,No,Yes,Yes,No,"5.2.1 No household shall keep more than two (2) Dogs. 5.2.2 Notwithstanding the limit set forth in Section 5.2.1, a third dog will be allowed on Lands Zoned Rural provided that the parcel is larger than four (4) hectares in size.",2440
Southwold,Elgin,SUCCESS,,By-law 2013-30,,COMPLETE,No,,No,,Yes,"Effective January 1, 2022, residents are no longer required to purchase a municipal dog tag. Each owner is to obtain their own tag with owner contact information clearly displayed (must include a phone number for the owner of the dog).",Yes,No,No person shall keep more than 3 dogs in any one dwelling unit or on any premises.,"The municipality removed municipal dog tag and licensing fees entirely for all dogs as of 2022, requiring owners to self-tag. ""Guard Dog"" is defined, but is restricted to security purposes on commercial/industrial land, not agricultural. No explicit mentions of working farm dogs or LGDs in the by-law.","BY-LAW NO. 2013-30
amended 2021",2013-01-01,COMPLETE,No,,No,,No,Yes,Yes,No,3 3.1 Maximum - 3 per premises No person shall keep more than 3 dogs in any one dwelling unit or on any premises.,2601
Rideau Lakes,Leeds and Grenville,SUCCESS,,By-Law Number 2012-3,,COMPLETE - FARM FRIENDLY,No,,No,,No,"The owner shall keep the dog tag securely fastened on the dog at all times until the tag is renewed or replaced, but the tag may be removed while the dog is lawfully hunting.",Yes,No,"Not explicitly restricted for general households, though keeping more than 5 dogs constitutes a Kennel per the Township Zoning By-Law 2023-50.","While there is no formal LGD definition, the by-law explicitly acknowledges and protects farm dogs in its running at large provisions: 'Farm dogs and hunting dogs under the control of any person and acting in accordance with acceptable behavior shall not be deemed to be running at large when found in any place other than the premises of the owner.'",BY-LAW 2012-3,2012-02-06,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,none,2384
Richmond Hill,York,SUCCESS,,By-Law No. 22-25,,COMPLETE,No,,No,,No,All dogs must be licensed and wear an issued municipal tag.,Yes,No,"Maximum of seven animals per household, including no more than three (3) dogs and four cats.","Recently updated modern 'Responsible Pet Ownership and Animal Regulation' by-law. It outlines strict limits on household pets and introduces an Administrative Monetary Penalty System. There are no farm dog or livestock guardian dog provisions or exemptions, reflecting its urban nature.",By-Law 22-25,2025-03-26,COMPLETE,No,,No,,No,Yes,No,N/A,"4 314.5.1 Maximum - four per premises Despite anything herein to the contrary, no person shall possess or harbour or allow to be possessed or harboured on, at, or in any one individual premises more than four dogs, unless the property is being used as a kennel.",2377
Tay,Simcoe,SUCCESS,,BY-LAW NO. 2025-10,,COMPLETE - FARM FRIENDLY,Yes,“Working Farm Dog” shall mean a dog that is specifically trained to work and live with domestic farm animals without causing them harm while aggressively repelling predators and is used exclusively for that purpose and belongs to one of the breeds defined as a Working Dog by the Canadian Kennel Club.,No,,No,Every owner of a dog shall securely fasten on the collar of the dog the tag issued by the Township.,Yes,No,Limit of two (2) dogs in a dwelling unit.,"Farm-friendly bylaw. The Township recently updated its Canine Control By-law to 2025-10. It explicitly defines 'Working Farm Dog', distinguishing them from regular domestic pets, though they are subject to standard licensing and the standard limit of 2 dogs. Unlike the previous 2017 bylaw which allowed up to 4 working farm dogs on agricultural properties, the 2025 bylaw removes this specific exemption unless a Kennel License is obtained.",BY-LAW NO. 2017-43,2018-04-25,COMPLETE,No,,No,,No,Yes,Yes,No,4,2727
The Blue Mountains,Grey,SUCCESS,,By-law 2006-32,,COMPLETE - FARM FRIENDLY,Yes,"“Working Dog” shall mean a dog trained, kept and utilized for work purposes including, but not limited to, livestock handling and/or guarding, pest and predator control, recreational dog sled use and police or rescue dogs.",No,,No,"Except as provided herein, no person shall harbour a dog or dogs within the boundaries of the Town, unless such dog has affixed to it a current dog tag issued under this By-law.",Yes,No,No person shall keep or harbour more than three dogs at any one time in a dwelling unit or on any individual conveyable land entity located within the boundaries of the Town.,"Farm-friendly bylaw. Includes a specific definition for 'Working Dog' which explicitly includes livestock handling, guarding, and pest/predator control. However, there are no specific exemptions to the 3-dog limit or licensing fees provided for working dogs.",BY-LAW NO. 2006-32,2006-04-24,COMPLETE,No,,No,,No,Yes,Yes,No,"none, 3 otherwise 2.2 Section 2.2 shall not apply to prevent the keeping of hunting and/or working dogs in addition to the maximum set-out provided the dwelling unit and/or individual conveyable land is located in a rural area.",2783
dawn,Lennox and Addington,SUCCESS,,By-law 0143/2004,,COMPLETE,No,,No,,No,The owner shall keep the dog tag securely fixed on the dog at all times. Dogs engaged in hunting under the control of their owner may have tags and collar removed during the hunt.,Yes,No,"No person shall keep, or do anything, which may cause to be kept, more than three (3) dogs and six (6) cats on any lot within any hamlet.","Note: The municipality was listed as 'dawn' in the prompt, but the provided URL explicitly belongs to the Township of Addington Highlands. It is a standard animal control bylaw that explicitly allows collar/tag removal for hunting dogs while actively hunting, but contains no mentions or exemptions for working farm dogs or LGDs.",BY-LAW NO. 0143/2004,2004-02-16,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,,18
Wilmot,Waterloo,SUCCESS,,By-law No. 2023-11,,COMPLETE - FARM FRIENDLY,Yes,"“Farm Dog” – means a dog whose role is to actively heard/guard livestock, such as cattle or sheep, on an agricultural property;",No,,No,Every Owner of a Dog shall cause a Dog tag to be securely affixed on the Dog at all times (until the tag is renewed or replaced).,Yes,No,"Maximum Number of Dogs Per Dwelling: Subject to the provisions of this By-law, no person shall keep or permit to be kept, more than three (3) Dogs on his or her property.","Farm-friendly bylaw. It includes a specific definition for 'Farm Dog' that encompasses both guarding and herding livestock. It also provides a farm-friendly containment exemption, allowing dogs on farms to be restrained by 'any reasonable means that prevents the Dog from being At Large' rather than strictly requiring a physical fence or chain.",BY-LAW NO. 2023-11,2023-03-06,NO BY-LAW IN PLACE,Yes,"Farm Dog – means a dog whose role is to actively heard/guard livestock, such as cattle or sheep, on an agricultural property;",No,,No,Yes,Yes,No,"3, can appeal (ii) A farm property owner, who is actively using Farm Dogs to tend to livestock, may seek an exemption to part 13.1 of the Dog and Kennel By-law in writing to the Manager of Municipal Law Enforcement to consider having more than three (3) dogs registered on the property.",3063
Whitewater Region,Renfrew,SUCCESS,,By-law Number 20-07-1308,,COMPLETE,No,,No,,No,The Owner of a Dog shall keep the Dog tag securely affixed on the Dog for which it was issued until renewed or replaced.,Yes,No,No more than a maximum of three (3) dogs are permitted per household and all must be licensed.,"Standard animal control bylaw. Contains no specific provisions, definitions, or exemptions for livestock guardian dogs or farm dogs. Properties with more than 3 dogs must meet zoning provisions and acquire a Kennel licence.",By-law Number 20-07-1308,2020-06-17,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,3 3.2 No more than a maximum of three (3) dogs are permitted per household and all must be licensed.,3056
West Nipissing,Nipissing,SUCCESS,,BY-LAW 2020/67,2020-11-17,COMPLETE - FARM FRIENDLY,Yes,“Farm Dog” or “Farm Cat” means a Dog that is trained and kept for the purpose of controlling or protecting livestock and poultry or a Cat that is kept for the purpose of rodent control within a privately owned barn or farm building.,No,,No,"Every Owner shall affix to his or her Dog or Cat a license tag, consisting of a metallic plate having raised, cast or stamped thereon figures indicating the year of issuance... and shall keep such tag affixed.",Yes,No,"The number of permitted Dogs and Cats within each Zone of the Municipality, as defined in Section 2.1 of the Zoning By-Law 2014/45, shall be as follows (keeping more than permitted number of Dogs is an offence).",Farm-friendly bylaw. Features a specific definition for 'Farm Dog' explicitly covering dogs trained and kept for the purpose of controlling or protecting livestock and poultry. Municipal news articles indicate the municipality maintained a limit exemption for livestock guard dogs when it reduced pet limits for urban areas in 2020.,BY-LAW 2020/67,2020-12-17,NO BY-LAW IN PLACE,Yes,“Farm Dog” or “Farm Cat” means a Dog that is trained and kept for the purpose of controlling or protecting livestock and poultry or a Cat that is kept for the purpose of rodent control within a privately,No,,No,Yes,Yes,No,"none 5 for (agricultural and rural zones), exemption for vi) farm Dogs or farm Cats",3007
Morris-Turnberry,Huron,SUCCESS,,BY-LAW NO. 109-2019,,COMPLETE - FARM FRIENDLY,Yes,"“Livestock Guardian Dog” (LGD) is a dog that works and/or lives with domestic farm animals or livestock (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,“Herding Dog” means a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Dog tags will be valid for the life of the dog for which they are issued.,Yes,No,"Maximum of two (2) dogs within urban areas, and three (3) dogs within rural areas. Exemption: In a Rural area, a person may harbor more than 3 dogs at a premises without a kennel license, provided the person is keeping sheep upon the same premises... the person provides proof of producer registration issued in the name recorded by the Ontario Sheep Marketing Agency; and the dogs are LGDs and or herding dogs.","Highly farm-friendly bylaw. It explicitly defines both 'Livestock Guardian Dog' and 'Herding Dog'. Most notably, it features a unique agricultural exemption allowing more than 3 dogs on rural properties without a kennel license specifically for LGDs and herding dogs, provided the owner keeps sheep and provides proof of Ontario Sheep Marketing Agency registration.",BY-LAW NO. 109-2019,2019-12-17,NO BY-LAW IN PLACE,Yes,"a dog that works and/or lives with domestic farm animals or livestock (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusivley for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,No,none 4.3.5. the dogs are LGDs and or herding dogs.,1838
