Municipality,County,Tier,Region,DB Status,DB Bylaw Name,DB Date Enacted,DB Has LGD Def,Audit Result,Link Status,Bylaw Name Match,LGD Keywords Found,Snippet,Source URL,Website Bylaw Links Found,Notes
Cornwall,"Stormont, Dundas and Glengarry",Single Tier,Eastern,NO BY-LAW IN PLACE,"BY-LAW 112-1998
amended 2015-055",2015-04-13,No,NO LGD PROVISIONS,200 OK,,,,https://www.cornwall.ca/en/shared-content/resources/Building-and-By-Law/Animal_Control_By-law.pdf,Animals and Wildlife (http://www.cornwall.ca/en/live-here/animal-control.aspx),Has animal control bylaw but no LGD-specific provisions found
Deseronto,Hastings,Lower Tier,Eastern,COMPLETE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Animals (http://www.deseronto.ca/residents/animal-control),No bylaw link stored in database
Clearview,Simcoe,Lower Tier,Central,COMPLETE,"By-law Number 21-84
Canine Control By-law",2021-08-23,No,OUTDATED,200 OK,YES (number_match),,,https://www.clearview.ca/media/50342,Animal Licensing (http://www.clearview.ca/pay-register-apply/permits-licences/animal-licensing); Animal Services (http://www.clearview.ca/municipal-services/bylaw-enforcement/animal-services),"Newer bylaw detected: statute.
17. Repeal
17.1. That By-law 01-50 and all amending by-laws are hereby repealed.
By-law 21-84
Page 14 of 16
18. Force and Effect
18.1. This By-law shall take f"
Clarington,Durham,Lower Tier,Central,COMPLETE,By-Law 2013-024,2013-03-25,No,OUTDATED,200 OK,YES (exact),,,https://weblink.clarington.net/WebLink/0/edoc/108125/2013-024%20-%20Consolidated.pdf,Animal Services (http://www.clarington.net/community-and-people/animal-services/); Animal Services (https://www.clarington.net/community-and-people/animal-services/#),"Newer bylaw detected: os. 2007-208, 2008-035,
2008-067, 2008-216, 2011-057, 2011-062 and 2011-122, is repealed.
6.3 Notwithstanding section 6.2, all licences issued under By-law No. 2006-227"
Deep River,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 24-2013,2013-06-26,No,NEEDS REVIEW,HTTP 404,,,,https://deepriver.civicweb.net/filepro/documents/search/search?exact=animal%20control&page=1&preview=4143,,Had a bylaw link but it's now broken — may have been replaced
Central Manitoulin,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW #2022-12,2022-12-15,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; guardian dog; working dog,"... d through the Municipality;
1
(12)""License Issuer"" means the Clerk or designate of the Municipality;
(13)""Livestock"" means sheep, pigs, goats, cattle, horses, mules, ponies, donkeys
or poultry;
(14) ""

 ---> LIVESTOCK GUARDIAN <--- 

 dog"" means a dog that (a) is identifiably of a breed
t�is is generally recognized as suitable for the purposes of protection of
livestock from predation, and (b) lives with a flock or herd of livesto ...",https://www.centralmanitoulin.ca/media/mdmhhtmu/2022-12_animal_control_by-law.pdf,Animal Services (http://www.centralmanitoulin.ca/living-here/animal-services/),LGD keywords found in bylaw: livestock guardian; guardian dog; working dog
Dorion,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Dryden,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2024-23,2022-05-22,No,NEEDS REVIEW,HTTP 404,,,,https://www.dryden.ca/Modules/Bylaws/Bylaw/Download/5903b909-031e-4ec8-bb8e-27ab7756599e,Animal Services (https://www.dryden.ca/your-government/by-law-enforcement/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Dutton-Dunwich,Elgin,Lower Tier,Western,NO BY-LAW IN PLACE,"By-law No. 2020-40
Animal Control Bylaw",2020-05-10,Other,NEEDS REVIEW,HTTP 404,,,,https://www.duttondunwich.on.ca/en/municipal-services/resources/Bylaws-and-Policies/2020-40-Animal-Control-By-law.pdf,By-law Enforcement & Animal Control (http://www.duttondunwich.on.ca/municipal-services/by-law-enforcement),Had a bylaw link but it's now broken — may have been replaced
Chapleau,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,By-Law No. 2022-08,2022-01-31,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://chapleau.ca/documents/assets/uploads/files/en/by-law_2022-08_-_regulation_and_control_of_animals_signed.pdf,,Has animal control bylaw but no LGD-specific provisions found
Douro-Dummer,Peterborough,Lower Tier,Central,NO BY-LAW IN PLACE,By-law 2021-11,2021-01-15,No,NEEDS REVIEW,HTTP 404,,,,https://www.dourodummer.ca/2021-11-Responsible-Dog-Ownership-By-law---Accessible-Edition.pdf,,Had a bylaw link but it's now broken — may have been replaced
Dysart et al,Haliburton,Lower Tier,Central,COMPLETE,By-law No. 2020-45,2020-06-23,No,LINK BROKEN,HTTP 404,,,,https://www.dysartetal.ca/en/municipal-government/By-Law%20Enforcement/By-Law%202020-45%20Canine%20Control.pdf,,HTTP HTTP 404 — link may be dead
Dawn-Euphemia,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NUMBER 46 OF 2013,2013-12-02,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://dawneuphemia.ca/wp-content/uploads/2020/09/By-Law-46-of-2013-animal-control-by-law.pdf,,Has animal control bylaw but no LGD-specific provisions found
Dubreuilville,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,By-Law No. 2023-30,2023-05-10,No,NEEDS REVIEW,HTTP 404,,,,https://dubreuilville.ca/documents/assets/uploads/files/en/2023-30_regulating_-_animal_care_&_control.pdf,,Had a bylaw link but it's now broken — may have been replaced
Caledon,Peel,Lower Tier,Central,COMPLETE,BY-LAW NO. 2019-43,2019-06-25,No,OUTDATED,200 OK,YES (exact),,,https://www.caledon.ca/uploads/14/Doc_637203090570046185.pdf?ts=638422935375591806,Animal Services (http://www.town.caledon.on.ca/en/living-here/animal-services.aspx),"Newer bylaw detected: declared a dangerous dog in accordance with a previous
Town By-law, even where repealed, such dog shall be deemed to be a
dangerous dog pursuant to this By-law and sha"
Emo,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
East Zorra-Tavistock,Oxford,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW #2001 - 54,2001-10-17,No,NEEDS REVIEW,HTTP 404,,,,https://www.ezt.ca/en/township-office/resources/Policies-and-By-laws/2001-054_animal_control_by-law_2016_Consolidated.pdf,By-law and Animal Control (https://www.ezt.ca/living-here/by-law-and-animal-control/),Had a bylaw link but it's now broken — may have been replaced
East Gwillimbury,York,Lower Tier,Central,COMPLETE,By-Law 2020-085,,Yes,LINK BROKEN,HTTP 404,,,,https://www.eastgwillimbury.ca/en/By-law-and-Parking/Animal-Care-and-Control-By-law-2020-085.pdf,,HTTP HTTP 404 — link may be dead
Cochrane,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,BYLAW 04/2016,2016-03-14,No,NEW LGD PROVISIONS,200 OK,YES (exact),working dog,"... wn owned or
operated by any school district or private school;
(w) “Service Dog” has the meaning as defined in the Service
Dogs Act, S.A. 2007, C.S-7.5, as amended or replaced from
time to time, or a 

 ---> WORKING DOG <--- 

 where the Manager is satisfied
of the dog’s credentials;
(x) “Severe Injury” means any injury that requires medical
attention excepting wound cleaning and basic first aid and
includes: wounds requiri ...",https://www.cochrane.ca/media/356,,LGD keywords found in bylaw: working dog
Chatham-Kent,Chatham-Kent,Single Tier,Western,NO BY-LAW IN PLACE,BY-LAW NUMBER 170-2021,2021-10-04,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.chatham-kent.ca/localgovernment/bylaws/Documents/170-2021.pdf,,Has animal control bylaw but no LGD-specific provisions found
East Garafraxa,Dufferin,Lower Tier,Central,COMPLETE,"BY-LAW NUMBER 2-95
amended 48-2022",1995-01-03,No,LINK BROKEN,HTTP 404,,,,https://www.eastgarafraxa.ca/en/municipal-government/resources/By-Laws/02-1995---Regulating-Dogs.pdf,,HTTP HTTP 404 — link may be dead
Armstrong,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2022-47,2023-01-11,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; guardian dog; herding dog,"... l 8
2.20 Feed(s)/ Feeding 8
2.21 Fire Chief 8
2.22 Harbour 8
2.23 Hen 8
2.24 Hen Run 8
2.25 Herding Dog 8
2.26 Keep(s)/Keeping 8
2.27 Kennel 8
2.28 Kennel License 8
2.29 Leash 8
3
2.30 Leashed 8
2.31 

 ---> LIVESTOCK GUARDIAN <--- 

 Dog 8
2.32 Livestock, Poultry and Honey Bee Protection Act 8
2.33 Lot Line 8
2.34 Maintain 9
2.35 Medical Officer of Health 9
2.36 Microchip 9
2.37 Municipality 9
2.38 Muzzle 9
2.39 Noise(s) 9
2.40 O ...",https://www.armstrongtownship.com/uploads/documents/by-laws/By-Law%202022-47%20Animal%20Control%20-%20Second%20and%20Final%20Reading%20and%20repeal%202006-18.pdf,,LGD keywords found in bylaw: livestock guardian; guardian dog; herding dog
Coleman,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO.11-18,2011-06-20,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://cdnsm5-hosted2.civiclive.com/UserFiles/Servers/Server_122825/File/Township%20Hall/By-Laws/By-Law%2011-18%20Animal.pdf,Animal Services and Licences (http://www.colemantownship.ca/services/animal_services_and_licences),Has animal control bylaw but no LGD-specific provisions found
Edwardsburgh-Cardinal,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 2016-85,2016-12-12,No,NEEDS REVIEW,HTTP 404,,,,https://www.twpec.ca/Modules/Bylaws/Bylaw/Download/1c04cec7-37c4-478e-857f-21b7eca4402e,Animal Control (http://www.edwardsburghcardinal.ca/living-here/animal-control/); Dog tag (http://www.edwardsburghcardinal.ca/living-here/animal-control/dog-tags/),Had a bylaw link but it's now broken — may have been replaced
East Hawkesbury,Prescott and Russell,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2008-61,2008-09-08,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.easthawkesbury.ca/media/grhfa2ci/animal-control-by-law.pdf,Animal Services and Control (http://www.easthawkesbury.ca/en/living-here/animal-services-and-control/),Has animal control bylaw but no LGD-specific provisions found
Evanturel,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Faraday,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 25-2016,2016-06-01,No,NEEDS REVIEW,HTTP 403,,,,https://www.faraday.ca/wp-content/uploads/2019/11/Dog-By-Law-2016.pdf,,Had a bylaw link but it's now broken — may have been replaced
Fauquier-Strickland,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Fort Frances,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW No. 50-17,2017-10-23,Yes,NEEDS REVIEW,HTTP 404,,,,https://fortfrances.civicweb.net/filepro/documents/search/search?keywords=dog&page=1&location=131&preview=78842,,Had a bylaw link but it's now broken — may have been replaced
Frontenac Islands,Frontenac,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
"Essex, T",Essex,Lower Tier,Western,COMPLETE,By-Law Number 1966,2023-03-06,Yes,LINK BROKEN,HTTP 404,,,,https://www.essex.ca/en/town-hall/resources/By-Laws/By-Law-No.-1966---Animal-Care-and-Control-3rd-Reading.pdf,,HTTP HTTP 404 — link may be dead
Enniskillen,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW 24 of 2011,,No,NEW LGD PROVISIONS,200 OK,NO,[pattern: kennel license.  a person wishing to obtain a kennel license],"...24 of 2011) No person shall operate a kennel for dogs within the Township without first obtaining a kennel license.  A person wishing to obtain a kennel license shall be subject to an inspection by the animal control officer.  The animal control officer shall inspect the kennel prior to the issuance of a kennel license.  The animal control officer shall inspect the kennel and determine that the kennel is clean and sanitary, free of refuse of any kind so as to prevent the arising of odours the",https://www.enniskillen.ca/services/animals/,Animals (https://www.enniskillen.ca/services/animals/),LGD keywords found in bylaw: [pattern: kennel license.  a person wishing to obtain a kennel license]
Gauthier,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Chisholm,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2010-06,2010-01-26,Yes,NO LGD PROVISIONS,200 OK,,,,https://www.chisholm.ca/uploads/documents/canine%20bylaw%202010-06-22012015123633.pdf,Animal Control (http://www.chisholm.ca/en/municipal-services/animal-control),Has animal control bylaw but no LGD-specific provisions found
Espanola,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,BYLAW NO 2790/17,2017-05-24,No,NO LGD PROVISIONS,200 OK,,,,https://www.espanola.ca/ModuleFile/2790_Regulate_Dogs_Cats_and_other_animals-Espanola.pdf?id=152,Animal Control & Bylaw Enforcement (https://www.espanola.ca/services/animal-control-bylaw-enforcement),Has animal control bylaw but no LGD-specific provisions found
Georgian Bluffs,Grey,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 79-2013,2013-09-04,No,NEEDS REVIEW,HTTP 404,,,,https://www.georgianbluffs.ca/en/business-development/resources/79-2013-Animal-Control.pdf,,Had a bylaw link but it's now broken — may have been replaced
East Ferris,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2014-19,2014-04-22,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://eastferris.ca/uploads/documents/By-law%20No.%202014-19%20Animal%20Control.pdf,Animal Control Services (http://eastferris.ca/en/municipal-services/animal-control-services),Has animal control bylaw but no LGD-specific provisions found
Drummond-North Elmsley,Lanark,Lower Tier,Eastern,COMPLETE,BY-LAW NO. 2019-024,2019-04-23,No,OUTDATED,200 OK,YES (exact),,,https://www.dnetownship.ca/component/edocman/?task=document.viewdocument&id=8,,"Newer bylaw detected: clauses or provisions of the By-law
shall remain in full force and effect until repealed, notwithstanding that one or
more provisions thereof shall have to be declared"
Gananoque,Leeds and Grenville,Single Tier,Eastern,COMPLETE - FARM FRIENDLY,BY-LAW NO. 2010-03,2010-06-30,No,LINK BROKEN,HTTP 404,,,,https://www.gananoque.ca/sites/gananoque.ca/files/by-laws/By-law%20No.%202010-03-Animal%20Control-Consolidated-13Aug2013.pdf,,HTTP HTTP 404 — link may be dead
Casselman,Prescott and Russell,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2015-027,2015-04-14,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_4754354/File/2015%20027%20to%20regulate%20the%20control%20of%20dogs.pdf,,Has animal control bylaw but no LGD-specific provisions found
Cobalt,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2013-037,2013-11-26,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; guardian dog; herding dog,"... Feed(s)/ Feeding 10
2.21 Fire Chief 10
2.22 Hen 10
2.23 Hen Run 10
2.24 Herding Dog 10
2.25 Harbour 10
2.26 Keep(s)/Keeping 10
2.27 Kennel 10
2.28 Kennel License 11
2.29 Leash 11
2.30 Leashed 11
2.31 

 ---> LIVESTOCK GUARDIAN <--- 

 Dog 11
2.32 Livestock, Poultry and Honey Bee Protection Act 11
2.33 Lot Line 11
2.34 Maintain 11
2.35 Medical Officer of Health 11
2.36 Microchip 11
2.37 Municipality 11
2.38 Muzzle 11
2.39 Noise(s) ...",https://cobalt.ca/wp-content/uploads/2019/09/2013-037-Bylaw-for-Animal-Control.pdf,Animal Control (https://cobalt.ca/residents/municipal-services/#1567019207669-6080dd92-320c); Animal Control (https://cobalt.ca/residents/by-laws/#1567020784147-d9e78ec2-7181),LGD keywords found in bylaw: livestock guardian; guardian dog; herding dog
Georgina,York,Lower Tier,Central,COMPLETE,"BY-LAW NUMBER 2004-0130 (tr,3)",2004-12-13,No,LINK BROKEN,HTTP 404,,,,https://www.georgina.ca/sites/default/files/page_assets/clerks_20040130li-3.pdf,Animal Services (http://www.georgina.ca/living-here/animal-services),HTTP HTTP 404 — link may be dead
Georgian Bay,Muskoka,Lower Tier,Northern,COMPLETE,BY-LAW 2017-26,,No,LINK BROKEN,HTTP 404,,,,https://www.gbtownship.ca/en/township-hall/resources/Documents/2017-26-Animal-Control-By-law.pdf,Animal Control (http://www.gbtownship.ca/township-hall/animal-control/),HTTP HTTP 404 — link may be dead
Gillies,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Front of Yonge,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW # 12-17,2017-05-15,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://mallorytown.ca/wp-content/uploads/2020/10/Dog-Control-By-law-2017.pdf,,Has animal control bylaw but no LGD-specific provisions found
Goderich,Huron,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 63 OF 2017,2017-06-19,No,NEEDS REVIEW,HTTP 404,,,,https://www.goderich.ca/en/town-hall-and-services/resources/Documents/By-Laws/63-2017-Animal-Control-By-Law-Accessible.pdf,Animal Services (http://www.goderich.ca/living-here/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Erin,Wellington,Lower Tier,Western,COMPLETE,BY-LAW #15-57,2015-12-15,No,NEEDS REVIEW,200 OK,NO,,,https://www.erin.ca/media/1200/15-57-regulate-dogs.pdf,,Link live but bylaw name not found in document — may have been replaced
Essa,Simcoe,Lower Tier,Central,COMPLETE - FARM FRIENDLY,"BY-LAW NO. 2006 - 18
amended 2023-09",2006-03-15,Yes,OUTDATED,200 OK,YES (number_match),livestock guardian; guardian dog; herding dog; lgd,"... . “Leash” means a chain, rope, or other similar device of not more than 3 metres (10
feet) in length which is designed to be held by a person and is used or designed to
be used to restrain a dog.
j. “

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” (LGD) means a dog that is specifically trained to work or
ADDED By-
law 2023-09 live with domestic animals (e.g. cattle, sheep, poultry) without causing harm while
aggressively repelling predato ...",https://www.essatownship.on.ca/media/mxajvcmw/06-18-consolidated-canine-control.pdf,Animal Control and Services (http://www.essatownship.on.ca/living-in-essa/animal-control-and-services/); Backyard Chickens (http://www.essatownship.on.ca/living-in-essa/animal-control-and-services/backyar),"Newer bylaw detected: accordance with the Health Protection and Promotion
Act, R.R.O. 1990, Reg. 567.
Repealed by d. A two year license may be obtained provided that the owner presents proof"
Gore Bay,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2020-02,2020-01-13,No,NEEDS REVIEW,HTTP 404,,,,https://www.gorebay.ca/uploads/file-uploads/by-laws/by-law-2020-02-licensing-and-control-of-dogs-final-copy.pdf,,Had a bylaw link but it's now broken — may have been replaced
Grand Valley,Dufferin,Lower Tier,Central,COMPLETE,By-law 2022 - 10,2022-01-25,Yes,LINK BROKEN,HTTP 404,,,,https://www.townofgrandvalley.ca/en/town-hall/resources/Documents/By-Laws/2022-10.pdf,Animal Services (http://www.eastluthergrandvalley.ca/living-here/animal-services/),HTTP HTTP 404 — link may be dead
Englehart,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW # 2022-03,2022-01-26,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://englehart.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=By-Law%202022-03%20-%20Animal%20Control(1).pdf,Animal Services (http://englehart.ca/animal-services),Has animal control bylaw but no LGD-specific provisions found
Greater Madawaska,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,"BY-LAW NUMBER 9-2008 
AMENDED BY 28-2018",2008-04-17,No,NEEDS REVIEW,HTTP 404,,,,https://www.greatermadawaska.com/en/township-office/By-Laws/By-law-09-2008-Animal-Control.pdf,Animals and Wildlife (http://www.greatermadawaska.com/living-here/animals-and-wildlife/),Had a bylaw link but it's now broken — may have been replaced
Grimsby,Niagara,Lower Tier,Central,COMPLETE - FARM FRIENDLY,By-law No. 10-06,2012-06-04,No,LINK BROKEN,HTTP 404,,,,https://www.grimsby.ca/en/town-hall/resources/Documents/To-regulate-animal-care-and-control-in-the-Town-of-Grimsby-By-Law-No.-10-06-FINAL.pdf,,HTTP HTTP 404 — link may be dead
Elliot Lake,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 22-100,2022-10-11,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.elliotlake.ca/Modules/Bylaws/Bylaw/Download/ece59e39-c1b0-4985-8b2a-aca6ee33627e,Animal Services (http://www.cityofelliotlake.com/en/city-hall/animal-services.aspx),Has animal control bylaw but no LGD-specific provisions found
Greenstone,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW N0. 05-66,2005-12-12,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://greenstone.civicweb.net/filepro/documents/23955/?preview=24305,Animal Control and Licences (http://www.greenstone.ca/living-here/animal-control-and-licences/),Has animal control bylaw but no LGD-specific provisions found
Harris,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Collingwood,Simcoe,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW No. 2012-016,2012-01-30,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.collingwood.ca/sites/default/files/docs/town-services/bylaws/2012-016_animal_control_0.pdf,,Has animal control bylaw but no LGD-specific provisions found
Haldimand,Haldimand,Single Tier,Western,COMPLETE,By-law No.1396/13,2013-09-23,No,NEEDS REVIEW,200 OK,NO,,,https://www.haldimandcounty.ca/wp-content/uploads/2018/04/Animal-Control-By-law-1396-13.pdf,,Link live but bylaw name not found in document — may have been replaced
"Hamilton, Tp",Northumberland,Lower Tier,Central,COMPLETE,By-law 2014-23,,,LINK BROKEN,HTTP 404,,,,"https://www.hamiltontownship.ca/en/resident-services/resources/BY-LAW-2014-23-ANIMAL-CONTROL-REGULATE-.pdf#:~:text=%5BPDF%5D%20BY,WITHIN%20THE%20TOWNSHIP%20OF",Animal Services (http://www.hamiltontownship.ca/living-here/animal-services/),HTTP HTTP 404 — link may be dead
"Head, Clara and Maria",Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Harley,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Hawkesbury,Prescott and Russell,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW No 36-2020,2020-06-29,No,NEEDS REVIEW,HTTP 404,,,,https://www.hawkesbury.ca/images/2020/36_2020_Animals.pdf,,Had a bylaw link but it's now broken — may have been replaced
Hilliard,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
"Hamilton, C",Hamilton,Single Tier,Central,COMPLETE - FARM FRIENDLY,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Cat Registration (http://www.hamilton.ca/home-neighbourhood/animals-pets/cats/register-your-cat); Dog Licence (http://www.hamilton.ca/home-neighbourhood/animals-pets/dogs/dog-licence); Animal & Insect-related Diseases (http://www.hamilton.ca/people-programs/public-health/environmental-health-hazard),No bylaw link stored in database
Gordon-Barrie Island,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2020-05,2020-04-07,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.gordonbarrieisland.ca/app/download/18635185825/Animal+Control+By-Law+2020-05.pdf?t=1704212942,,Has animal control bylaw but no LGD-specific provisions found
Hilton,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Highlands East,Haliburton,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW NO. 2005-55,2005-10-25,No,NEEDS REVIEW,HTTP 404,,,,https://www.highlandseast.ca/en/resourcesGeneral/Documents/by-law_dog.pdf,Animal Services (http://www.highlandseast.ca/en/live-here/animal-services.aspx),Had a bylaw link but it's now broken — may have been replaced
Grey Highlands,Grey,Lower Tier,Western,COMPLETE,By-law No. 2021-071,2021-07-21,No,OUTDATED,200 OK,YES (exact),working dog,"... or gain, but shall not apply to the keeping of
animals in a veterinary establishment for the purpose of observation
and/or recovery necessary to veterinary treatment or, to the keeping
of hunting, or 

 ---> WORKING DOG <--- 

s. working or foster dogs within the
dwelling unit or foster home.
(k)""Kennel License"" means a certificate issued by the Clerk or
designate of the Municipality upon fulfilling the requirements of the ...",https://greyhighlands.civicweb.net/document/292927/,Animal Control (http://www.greyhighlands.ca/my-home/animal-control/); Dog Licensing (https://forms.greyhighlands.ca/2026-Dog-Licence-Application-Form),"Newer bylaw detected: the provision that is the most restrictive in relation to controls
prevails.
13.REPEALS
By-law Numbers 2006-112 and 2006-113 are hereby rescinded
effective upon the pa"
Horton,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 2014-34,2014-06-03,No,NEEDS REVIEW,HTTP 404,,,,https://www.hortontownship.ca/download.php?dl=YToyOntzOjI6ImlkIjtzOjM6IjI1NiI7czozOiJrZXkiO2k6Mzt9,,Had a bylaw link but it's now broken — may have been replaced
French River,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2022-13,2022-04-06,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.frenchriver.ca/Home/DownloadDocument?docId=6903aa4e-24c2-4121-9a33-b893605753c8,,Has animal control bylaw but no LGD-specific provisions found
Hudson,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Hastings Highlands,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,BYLAW 2019-098,2019-11-20,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.hastingshighlands.ca/media/ugxdmjjo/2019-098-regulating-the-keeping-of-dogs.pdf,Animal Services (https://www.hastingshighlands.ca/living-here/animal-services/); Animal Services (https://www.hastingshighlands.ca/municipal-services/animal-services/),Has animal control bylaw but no LGD-specific provisions found
Hilton Beach,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW #2020-08,2020-05-13,No,NEEDS REVIEW,HTTP 500,,,,https://hiltonbeach.com/wp-content/uploads/2020/07/By-law-2020-08-Animal-Control.pdf,,Had a bylaw link but it's now broken — may have been replaced
