Municipality,County,Extraction Status,Source URL,NEW_bylaw_name,NEW_date_enacted,NEW_progress_label,NEW_has_lgd_definition,NEW_lgd_definition,NEW_has_herding_def,NEW_herding_definition,NEW_exempt_license_fees,NEW_collar_tag_req,NEW_barking_restrictions,NEW_exempt_barking,NEW_dog_limit,NEW_notes,OLD_bylaw_name,OLD_date_enacted,OLD_progress_label,OLD_has_lgd_definition,OLD_lgd_definition,OLD_has_herding_def,OLD_herding_definition,OLD_exempt_license_fees,OLD_collar_tag_req,OLD_barking_restrictions,OLD_exempt_barking,OLD_dog_limit,DB_bylaw_id
Port Hope,Northumberland,SUCCESS,,By-law No. 60/2022,2022-09-06,COMPLETE - FARM FRIENDLY,Yes,"“Working Dog” shall mean any of various breeds of dogs developed or trained to perform useful work to assist humans (i.e. herding animals, pulling wagons or sleds, livestock guardian, or guarding property) and excludes hunting dogs.",No,,No,Every dog Owner shall cause a dog tag to be securely affixed on the dog at all times (until the tag needs replaced).,No,N/A,"Maximum of 3 dogs on a single detached dwelling. Exemption: Sections 3.8.1 and 3.8.2 shall not apply to a property which is zoned Agricultural, a property possessing a valid kennel license, an approved business and/or veterinary offices.","Farm-friendly bylaw. Defines ""Working Dog"" broadly to include both livestock guardians and herding dogs. Explicitly exempts properties zoned as Agricultural from the 3-dog limit, making it favourable for farming operations. Noise/barking is enforced under a separate noise by-law.",By-law No. 60/2022,2022-09-06,COMPLETE - FARM FRIENDLY,Yes,"“Working Dog” shall mean any of various breeds of dogs developed or trained to perform useful work to assist humans (i.e. herding animals, pulling wagons or sleds, livestock guardian, or guarding property) and excludes hunting dogs.",No,,No,Every dog Owner shall cause a dog tag to be securely affixed on the dog at all times (until the tag needs replaced).,No,No,"Maximum of 3 dogs on a single detached dwelling. Exemption: Sections 3.8.1 and 3.8.2 shall not apply to a property which is zoned Agricultural, a property possessing a valid kennel license, an approved business and/or veterinary offices.",2279
Orangeville,Dufferin,SUCCESS,,By-law Number 2024-026,2024-04-29,COMPLETE,No,,No,,No,An owner of a dog shall keep the tag issued by the Town securely fixed on the dog it was issued at all times. No person shall affix a tag to any dog other than the dog for which it was issued; or remove a tag except to replace it with a current or valid tag.,Yes,No,"No person shall keep or harbour or permit to be kept or harboured at any one time, more than three (3) dogs on a property or per dwelling unit.","Standard urban animal control by-law. While there are specific definitions and licensing exemptions for Service Dogs and Police Working Dogs, there are no definitions or exemptions for farm dogs, herding dogs, or livestock guardian dogs.",By-law Number 2024-026,2024-04-29,COMPLETE,No,,No,,No,An owner of a dog shall keep the tag issued by the Town securely fixed on the dog it was issued at all times. No person shall affix a tag to any dog other than the dog for which it was issued; or remove a tag except to replace it with a current or valid tag.,Yes,No,"No person shall keep or harbour or permit to be kept or harboured at any one time, more than three (3) dogs on a property or per dwelling unit.",2069
Quinte West,Hastings,SUCCESS,,By-Law 15-034,,COMPLETE - FARM FRIENDLY,No,,No,,No,Every dog owner within the City’s limits shall obtain a dog licence annually by the first day of January of each year.,Yes,No,"No person shall harbour more than three (3) dogs in an urban area, and no more than five (5) dogs in a rural area.","Note: The document linked in the prompt (16-139) is the Animal Regulation By-law primarily dealing with exotic/prohibited animals. Dog control is governed by the Dog Licensing and Control By-law (15-034). It is farm-friendly because it explicitly allows a higher limit of 5 dogs in rural areas compared to 3 dogs in urban areas, though there are no specific LGD definitions.",By-Law 15-034,2016-11-07,COMPLETE - FARM FRIENDLY,No,,No,,No,Every dog owner within the City’s limits shall obtain a dog licence annually by the first day of January of each year.,Yes,No,"No person shall harbour more than three (3) dogs in an urban area, and no more than five (5) dogs in a rural area.",2328
Scugog,Durham,SUCCESS,,By-Law Number 85-08,2008-10-06,COMPLETE - FARM FRIENDLY,Yes,"Working/Livestock Guardian Dog - shall mean a dog that is specifically trained and actively being used in a bona-fide farming operation, to work and/or live with domestic farm animals (i.e. cattle, sheep, etc.) to protect and/or control them while aggressively repelling predators and is used exclusively for that",No,,No,"Working/Livestock Guardian Dogs shall be exempt from wearing a collar or tag, provided that the Owner has paid the annual licensing fee, registered said dog with the Township and provided identifying information for the dog from a registered micro-chip.",Yes,Yes,"Maximum of 2 dogs per household. Exemption: ""Notwithstanding the limit set forth in Section 5.2.1, a person may own, harbor, keep or permit to be kept an additional three (3) dogs at a premise provided the dogs are working/livestock guardian dogs.""","Extremely farm-friendly by-law, incorporating recent amendments. It specifically defines Working/Livestock Guardian Dogs, exempts them from wearing collars/tags while working (provided they are microchipped and licensed), and exempts them from noise/barking bylaw provisions while actively engaged in their duties. It also increases the limit from 2 dogs to 5 dogs strictly to accommodate 3 additional working/livestock guardian dogs for owners with domestic farm animals.",By-Law Number 85-08,2008-10-06,COMPLETE - FARM FRIENDLY,Yes,"Working/Livestock Guardian Dog - shall mean a dog that is specifically trained and actively being used in a bona-fide farming operation, to work and/or live with domestic farm animals (i.e. cattle, sheep, etc.) to protect and/or control them while aggressively repelling predators and is used exclusively for that",No,,No,"Working/Livestock Guardian Dogs shall be exempt from wearing a collar or tag, provided that the Owner has paid the annual licensing fee, registered said dog with the Township and provided identifying information for the dog from a registered micro-chip.",Yes,Yes,"Maximum of 2 dogs per household. Exemption: ""Notwithstanding the limit set forth in Section 5.2.1, a person may own, harbor, keep or permit to be kept an additional three (3) dogs at a premise provided the dogs are working/livestock guardian dogs.""",2440
Southwold,Elgin,SUCCESS,,By-law 2013-30,,COMPLETE,No,,No,,Yes,"Effective January 1, 2022, residents are no longer required to purchase a municipal dog tag. Each owner is to obtain their own tag with owner contact information clearly displayed (must include a phone number for the owner of the dog).",Yes,No,No person shall keep more than 3 dogs in any one dwelling unit or on any premises.,"The municipality removed municipal dog tag and licensing fees entirely for all dogs as of 2022, requiring owners to self-tag. ""Guard Dog"" is defined, but is restricted to security purposes on commercial/industrial land, not agricultural. No explicit mentions of working farm dogs or LGDs in the by-law.",By-law 2013-30,2013-01-01,COMPLETE,No,,No,,Yes,"Effective January 1, 2022, residents are no longer required to purchase a municipal dog tag. Each owner is to obtain their own tag with owner contact information clearly displayed (must include a phone number for the owner of the dog).",Yes,No,No person shall keep more than 3 dogs in any one dwelling unit or on any premises.,2601
Rideau Lakes,Leeds and Grenville,SUCCESS,,By-Law Number 2012-3,,COMPLETE - FARM FRIENDLY,No,,No,,No,"The owner shall keep the dog tag securely fastened on the dog at all times until the tag is renewed or replaced, but the tag may be removed while the dog is lawfully hunting.",Yes,No,"Not explicitly restricted for general households, though keeping more than 5 dogs constitutes a Kennel per the Township Zoning By-Law 2023-50.","While there is no formal LGD definition, the by-law explicitly acknowledges and protects farm dogs in its running at large provisions: 'Farm dogs and hunting dogs under the control of any person and acting in accordance with acceptable behavior shall not be deemed to be running at large when found in any place other than the premises of the owner.'",By-Law Number 2012-3,2012-02-06,COMPLETE - FARM FRIENDLY,No,,No,,No,"The owner shall keep the dog tag securely fastened on the dog at all times until the tag is renewed or replaced, but the tag may be removed while the dog is lawfully hunting.",Yes,No,"Not explicitly restricted for general households, though keeping more than 5 dogs constitutes a Kennel per the Township Zoning By-Law 2023-50.",2384
Richmond Hill,York,SUCCESS,,By-Law No. 22-25,,COMPLETE,No,,No,,No,All dogs must be licensed and wear an issued municipal tag.,Yes,No,"Maximum of seven animals per household, including no more than three (3) dogs and four cats.","Recently updated modern 'Responsible Pet Ownership and Animal Regulation' by-law. It outlines strict limits on household pets and introduces an Administrative Monetary Penalty System. There are no farm dog or livestock guardian dog provisions or exemptions, reflecting its urban nature.",By-Law No. 22-25,2025-03-26,COMPLETE,No,,No,,No,All dogs must be licensed and wear an issued municipal tag.,Yes,No,"Maximum of seven animals per household, including no more than three (3) dogs and four cats.",2377
Tay,Simcoe,SUCCESS,,BY-LAW NO. 2025-10,,COMPLETE - FARM FRIENDLY,Yes,“Working Farm Dog” shall mean a dog that is specifically trained to work and live with domestic farm animals without causing them harm while aggressively repelling predators and is used exclusively for that purpose and belongs to one of the breeds defined as a Working Dog by the Canadian Kennel Club.,No,,No,Every owner of a dog shall securely fasten on the collar of the dog the tag issued by the Township.,Yes,No,Limit of two (2) dogs in a dwelling unit.,"Farm-friendly bylaw. The Township recently updated its Canine Control By-law to 2025-10. It explicitly defines 'Working Farm Dog', distinguishing them from regular domestic pets, though they are subject to standard licensing and the standard limit of 2 dogs. Unlike the previous 2017 bylaw which allowed up to 4 working farm dogs on agricultural properties, the 2025 bylaw removes this specific exemption unless a Kennel License is obtained.",BY-LAW NO. 2025-10,2018-04-25,COMPLETE - FARM FRIENDLY,Yes,“Working Farm Dog” shall mean a dog that is specifically trained to work and live with domestic farm animals without causing them harm while aggressively repelling predators and is used exclusively for that purpose and belongs to one of the breeds defined as a Working Dog by the Canadian Kennel Club.,No,,No,Every owner of a dog shall securely fasten on the collar of the dog the tag issued by the Township.,Yes,No,Limit of two (2) dogs in a dwelling unit.,2727
The Blue Mountains,Grey,SUCCESS,,By-law 2006-32,,COMPLETE - FARM FRIENDLY,Yes,"“Working Dog” shall mean a dog trained, kept and utilized for work purposes including, but not limited to, livestock handling and/or guarding, pest and predator control, recreational dog sled use and police or rescue dogs.",No,,No,"Except as provided herein, no person shall harbour a dog or dogs within the boundaries of the Town, unless such dog has affixed to it a current dog tag issued under this By-law.",Yes,No,No person shall keep or harbour more than three dogs at any one time in a dwelling unit or on any individual conveyable land entity located within the boundaries of the Town.,"Farm-friendly bylaw. Includes a specific definition for 'Working Dog' which explicitly includes livestock handling, guarding, and pest/predator control. However, there are no specific exemptions to the 3-dog limit or licensing fees provided for working dogs.",By-law 2006-32,2006-04-24,COMPLETE - FARM FRIENDLY,Yes,"“Working Dog” shall mean a dog trained, kept and utilized for work purposes including, but not limited to, livestock handling and/or guarding, pest and predator control, recreational dog sled use and police or rescue dogs.",No,,No,"Except as provided herein, no person shall harbour a dog or dogs within the boundaries of the Town, unless such dog has affixed to it a current dog tag issued under this By-law.",Yes,No,No person shall keep or harbour more than three dogs at any one time in a dwelling unit or on any individual conveyable land entity located within the boundaries of the Town.,2783
dawn,Lennox and Addington,SUCCESS,,By-law 0143/2004,,COMPLETE,No,,No,,No,The owner shall keep the dog tag securely fixed on the dog at all times. Dogs engaged in hunting under the control of their owner may have tags and collar removed during the hunt.,Yes,No,"No person shall keep, or do anything, which may cause to be kept, more than three (3) dogs and six (6) cats on any lot within any hamlet.","Note: The municipality was listed as 'dawn' in the prompt, but the provided URL explicitly belongs to the Township of Addington Highlands. It is a standard animal control bylaw that explicitly allows collar/tag removal for hunting dogs while actively hunting, but contains no mentions or exemptions for working farm dogs or LGDs.",By-law 0143/2004,2004-02-16,COMPLETE,No,,No,,No,The owner shall keep the dog tag securely fixed on the dog at all times. Dogs engaged in hunting under the control of their owner may have tags and collar removed during the hunt.,Yes,No,"No person shall keep, or do anything, which may cause to be kept, more than three (3) dogs and six (6) cats on any lot within any hamlet.",18
Wilmot,Waterloo,SUCCESS,,By-law No. 2023-11,,COMPLETE - FARM FRIENDLY,Yes,"“Farm Dog” – means a dog whose role is to actively heard/guard livestock, such as cattle or sheep, on an agricultural property;",No,,No,Every Owner of a Dog shall cause a Dog tag to be securely affixed on the Dog at all times (until the tag is renewed or replaced).,Yes,No,"Maximum Number of Dogs Per Dwelling: Subject to the provisions of this By-law, no person shall keep or permit to be kept, more than three (3) Dogs on his or her property.","Farm-friendly bylaw. It includes a specific definition for 'Farm Dog' that encompasses both guarding and herding livestock. It also provides a farm-friendly containment exemption, allowing dogs on farms to be restrained by 'any reasonable means that prevents the Dog from being At Large' rather than strictly requiring a physical fence or chain.",By-law No. 2023-11,2023-03-06,COMPLETE - FARM FRIENDLY,Yes,"“Farm Dog” – means a dog whose role is to actively heard/guard livestock, such as cattle or sheep, on an agricultural property;",No,,No,Every Owner of a Dog shall cause a Dog tag to be securely affixed on the Dog at all times (until the tag is renewed or replaced).,Yes,No,"Maximum Number of Dogs Per Dwelling: Subject to the provisions of this By-law, no person shall keep or permit to be kept, more than three (3) Dogs on his or her property.",3063
Whitewater Region,Renfrew,SUCCESS,,By-law Number 20-07-1308,,COMPLETE,No,,No,,No,The Owner of a Dog shall keep the Dog tag securely affixed on the Dog for which it was issued until renewed or replaced.,Yes,No,No more than a maximum of three (3) dogs are permitted per household and all must be licensed.,"Standard animal control bylaw. Contains no specific provisions, definitions, or exemptions for livestock guardian dogs or farm dogs. Properties with more than 3 dogs must meet zoning provisions and acquire a Kennel licence.",By-law Number 20-07-1308,2020-06-17,COMPLETE,No,,No,,No,The Owner of a Dog shall keep the Dog tag securely affixed on the Dog for which it was issued until renewed or replaced.,Yes,No,No more than a maximum of three (3) dogs are permitted per household and all must be licensed.,3056
West Nipissing,Nipissing,SUCCESS,,BY-LAW 2020/67,2020-11-17,COMPLETE - FARM FRIENDLY,Yes,“Farm Dog” or “Farm Cat” means a Dog that is trained and kept for the purpose of controlling or protecting livestock and poultry or a Cat that is kept for the purpose of rodent control within a privately owned barn or farm building.,No,,No,"Every Owner shall affix to his or her Dog or Cat a license tag, consisting of a metallic plate having raised, cast or stamped thereon figures indicating the year of issuance... and shall keep such tag affixed.",Yes,No,"The number of permitted Dogs and Cats within each Zone of the Municipality, as defined in Section 2.1 of the Zoning By-Law 2014/45, shall be as follows (keeping more than permitted number of Dogs is an offence).",Farm-friendly bylaw. Features a specific definition for 'Farm Dog' explicitly covering dogs trained and kept for the purpose of controlling or protecting livestock and poultry. Municipal news articles indicate the municipality maintained a limit exemption for livestock guard dogs when it reduced pet limits for urban areas in 2020.,BY-LAW 2020/67,2020-11-17,COMPLETE - FARM FRIENDLY,Yes,“Farm Dog” or “Farm Cat” means a Dog that is trained and kept for the purpose of controlling or protecting livestock and poultry or a Cat that is kept for the purpose of rodent control within a privately owned barn or farm building.,No,,No,"Every Owner shall affix to his or her Dog or Cat a license tag, consisting of a metallic plate having raised, cast or stamped thereon figures indicating the year of issuance... and shall keep such tag affixed.",Yes,No,"The number of permitted Dogs and Cats within each Zone of the Municipality, as defined in Section 2.1 of the Zoning By-Law 2014/45, shall be as follows (keeping more than permitted number of Dogs is an offence).",3007
Morris-Turnberry,Huron,SUCCESS,,BY-LAW NO. 109-2019,,COMPLETE - FARM FRIENDLY,Yes,"“Livestock Guardian Dog” (LGD) is a dog that works and/or lives with domestic farm animals or livestock (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,“Herding Dog” means a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Dog tags will be valid for the life of the dog for which they are issued.,Yes,No,"Maximum of two (2) dogs within urban areas, and three (3) dogs within rural areas. Exemption: In a Rural area, a person may harbor more than 3 dogs at a premises without a kennel license, provided the person is keeping sheep upon the same premises... the person provides proof of producer registration issued in the name recorded by the Ontario Sheep Marketing Agency; and the dogs are LGDs and or herding dogs.","Highly farm-friendly bylaw. It explicitly defines both 'Livestock Guardian Dog' and 'Herding Dog'. Most notably, it features a unique agricultural exemption allowing more than 3 dogs on rural properties without a kennel license specifically for LGDs and herding dogs, provided the owner keeps sheep and provides proof of Ontario Sheep Marketing Agency registration.",BY-LAW NO. 109-2019,2019-12-17,COMPLETE - FARM FRIENDLY,Yes,"“Livestock Guardian Dog” (LGD) is a dog that works and/or lives with domestic farm animals or livestock (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusively for that purpose.",Yes,“Herding Dog” means a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Dog tags will be valid for the life of the dog for which they are issued.,Yes,No,"Maximum of two (2) dogs within urban areas, and three (3) dogs within rural areas. Exemption: In a Rural area, a person may harbor more than 3 dogs at a premises without a kennel license, provided the person is keeping sheep upon the same premises... the person provides proof of producer registration issued in the name recorded by the Ontario Sheep Marketing Agency; and the dogs are LGDs and or herding dogs.",1838
Alnwick-Haldimand,Northumberland,SUCCESS,,BY-LAW NO. 133-2019,2019-11-21,COMPLETE - FARM FRIENDLY,Yes,"""Working Dog"" shall mean any of various breeds of dogs developed or trained to perform useful work to assist humans (i.e. herding animals, pulling wagons or sleds, or guarding property) and excludes hunting dogs.",No,,No,Every dog Owner shall cause a dog tag to be securely affixed on the dog at all times (until the tag needs replaced).,Yes,Yes,"Limit of three (3) dogs within or about any single detached dwelling, or two (2) dogs per dwelling unit. This limit shall not apply to a property which is zoned Agricultural, possesses a valid kennel license, an approved business and/or veterinary office.","URL: https://ahtwp.squarespace.com/s/BL-133-2019-Animal-Control.pdf. The bylaw is highly farm-friendly. It explicitly defines 'Working Dog' to include both guarding and herding roles, and it completely exempts agriculturally zoned properties from the 3-dog limit. Barking is governed by a separate Noise By-law No. 63-2022 which exempts noises by animals kept or used for agricultural purposes.",BY-LAW NO. 133-2019,2019-11-21,COMPLETE - FARM FRIENDLY,Yes,"""Working Dog"" shall mean any of various breeds of dogs developed or trained to perform useful work to assist humans (i.e. herding animals, pulling wagons or sleds, or guarding property) and excludes hunting dogs.",No,,No,Every dog Owner shall cause a dog tag to be securely affixed on the dog at all times (until the tag needs replaced).,Yes,Yes,"Limit of three (3) dogs within or about any single detached dwelling, or two (2) dogs per dwelling unit. This limit shall not apply to a property which is zoned Agricultural, possesses a valid kennel license, an approved business and/or veterinary office.",74
Amherstburg,Essex,SUCCESS,,BY-LAW NO. 2022-008,2022-02-28,COMPLETE,No,,No,,No,A dog tag is to be securely fixed on the dog at all times until the tag is renewed or replaced.,Yes,N/A,No person shall keep or permit to be kept more than three (3) dogs in any one dwelling unit or on any premises in a residential area unless they hold a valid kennel licence.,"URL: https://www.amherstburg.ca/media/iv1o4ub3/2022-008-keeping-of-animals-rm.pdf. Standard animal control bylaw without specific exemptions for farm dogs or LGDs. The 3-dog limit specifies 'residential area', suggesting agricultural zones may be implicitly exempt from this restriction.",BY-LAW NO. 2022-008,2022-02-28,COMPLETE,No,,No,,No,A dog tag is to be securely fixed on the dog at all times until the tag is renewed or replaced.,Yes,No,No person shall keep or permit to be kept more than three (3) dogs in any one dwelling unit or on any premises in a residential area unless they hold a valid kennel licence.,88
Amaranth,Dufferin,SUCCESS,,By-law Number 2026-08,2026-02-04,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a purpose bred and trained dog that works and/or lives with domestic farm animals to protect them for predators while aggressively repelling those predators, and is used exclusively for the purpose.",No,,No,Every owner of a dog shall cause a dog tag to be securely affixed on the dog at all times (until the tag needs replaced).,Yes,Yes,"No owner shall keep or permit to be kept more than three (3) dogs at any one time, per dwelling unit, location or residence within the Township of Amaranth, (unless you are on an Agricultural zoned property).","URL: https://www.amaranth.ca/media/x5mbop0o/by-law-2026-08-animal-control-dogs-and-kennels.pdf. Recently updated bylaw that is very farm friendly. It explicitly defines 'Livestock Guardian Dog' and fully exempts agriculturally zoned properties from the 3-dog limit. It also creates a 'Personal Use Kennel' category explicitly for 'Livestock Guardian, Hunting and Predator Control' that allows for additional dogs.",By-law Number 2026-08,2026-02-04,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a purpose bred and trained dog that works and/or lives with domestic farm animals to protect them for predators while aggressively repelling those predators, and is used exclusively for the purpose.",No,,No,Every owner of a dog shall cause a dog tag to be securely affixed on the dog at all times (until the tag needs replaced).,Yes,Yes,"No owner shall keep or permit to be kept more than three (3) dogs at any one time, per dwelling unit, location or residence within the Township of Amaranth, (unless you are on an Agricultural zoned property).",81
Blandford-Blenheim,Oxford,SUCCESS,,BY-LAW NUMBER 2275-2021,2021-09-01,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog shall mean a dog that works and/or lives with domestic farm animals to protect them while repelling predators and is used exclusively for that purpose;""",Yes,"""Herding Dog shall mean a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;""",Yes,"The Township is no longer licensing dogs (program discontinued in 2022). Instead, owners must have either a personalized tag with contact information or microchip their dogs.",Yes,Yes,"Residents may keep a maximum of three (3) dogs which are over three (3) months at any one (1) location, unless a kennel license is obtained.",URL: https://www.blandfordblenheim.ca/media/uocbfd43/consolidated-2275-2021-animal-care-and-control.pdf. Contains highly accurate definitions for both LGDs and Herding Dogs. Barking is governed by a separate Noise Control By-law (2357-2023) which exempts normal farm practices.,BY-LAW NUMBER 2275-2021,2021-09-01,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog shall mean a dog that works and/or lives with domestic farm animals to protect them while repelling predators and is used exclusively for that purpose;""",Yes,"""Herding Dog shall mean a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;""",Yes,"The Township is no longer licensing dogs (program discontinued in 2022). Instead, owners must have either a personalized tag with contact information or microchip their dogs.",Yes,Yes,"Residents may keep a maximum of three (3) dogs which are over three (3) months at any one (1) location, unless a kennel license is obtained.",221
Brant,Brant,SUCCESS,,By-Law Number 174-10,2010-08-10,COMPLETE - FARM FRIENDLY,No,,No,,No,"No person shall fail to keep the dog tag securely affixed to the dog for which it was issued, except while the dog is being lawfully used for hunting in the bush, provided the name of the registered owner and their phone number is written on the dog's collar.",Yes,Yes,"No person shall keep or permit to be kept more than three (3) dogs at any premises. However, a person may keep more than three dogs at a premises provided the person is keeping sheep upon the same premises, the premises is on land that is zoned agricultural, and the person provides proof of registration with the Ontario Sheep Marketing Agency.",URL: https://www.brant.ca/media/htqpbujq/animal-control.pdf. Uniquely provides a specific exemption to the 3-dog limit for farmers keeping sheep on agriculturally zoned land. The County's online dog licensing portal also explicitly lists 'Herding Dogs' as an exemption category.,By-Law Number 174-10,2010-08-10,COMPLETE - FARM FRIENDLY,No,,No,,No,"No person shall fail to keep the dog tag securely affixed to the dog for which it was issued, except while the dog is being lawfully used for hunting in the bush, provided the name of the registered owner and their phone number is written on the dog's collar.",Yes,Yes,"No person shall keep or permit to be kept more than three (3) dogs at any premises. However, a person may keep more than three dogs at a premises provided the person is keeping sheep upon the same premises, the premises is on land that is zoned agricultural, and the person provides proof of registration with the Ontario Sheep Marketing Agency.",277
Burlington,Halton,SUCCESS,,BY-LAW NUMBER 60-2005,2005-06-13,COMPLETE - FARM FRIENDLY,No,,No,,No,All dogs in Burlington must be licensed and wear the identification tag issued by the City.,Yes,N/A,Residents are allowed to own a maximum of 4 animals total (cats or dogs) per residence. This limit does not apply to properties outside of the Urban Planning Area.,URL: https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/060-2005-By-law.pdf. Agricultural properties located outside the Urban Planning Area are implicitly exempted from the strict animal caps. Barking is governed by the Nuisance and Noise Control By-law (019-2003).,BY-LAW NUMBER 60-2005,2005-06-13,COMPLETE - FARM FRIENDLY,No,,No,,No,All dogs in Burlington must be licensed and wear the identification tag issued by the City.,Yes,N/A,Residents are allowed to own a maximum of 4 animals total (cats or dogs) per residence. This limit does not apply to properties outside of the Urban Planning Area.,361
Brock,Durham,SUCCESS,,By-Law Number 2446-2012-PP,2012-12-03,COMPLETE - FARM FRIENDLY,Yes,“Livestock Guardian Dog” (LGD) means a dog that works with domestic farm animals for protection from predators and is used exclusively for that purpose.,Yes,“Herding Dog” means a dog that has been trained and is actively being used in a bona fide farming operation for the purpose of controlling livestock.,No,"Livestock Guardian Dog or Herding Dog shall be exempt from wearing a collar or tag, provided that the Owner has paid the annual licensing fee, registered said dog with the Township and provided identifying information for the dog from an ear tattoo, micro-chip, and/or proof of membership with the Canadian Kennel Club.",Yes,N/A,"Maximum of 3 dogs per property. However, Working Dogs, Herding Dogs and LGDs are excluded from the definition of a 'Dog' in the bylaw entirely, explicitly exempting them from the limit.","URL: https://www.townshipofbrock.ca/media/rvwhdxuh/2446-2012-pp-animal-control-bylaw-accessible.pdf. Highly accommodating to farmers. It explicitly defines LGDs and Herding Dogs, and exempts them from having to wear a physical collar or tag while working (provided they are microchipped or tattooed) to protect them from snagging or injuries from predators.",By-Law Number 2446-2012-PP,2012-12-03,COMPLETE - FARM FRIENDLY,Yes,“Livestock Guardian Dog” (LGD) means a dog that works with domestic farm animals for protection from predators and is used exclusively for that purpose.,Yes,“Herding Dog” means a dog that has been trained and is actively being used in a bona fide farming operation for the purpose of controlling livestock.,No,"Livestock Guardian Dog or Herding Dog shall be exempt from wearing a collar or tag, provided that the Owner has paid the annual licensing fee, registered said dog with the Township and provided identifying information for the dog from an ear tattoo, micro-chip, and/or proof of membership with the Canadian Kennel Club.",Yes,No,"Maximum of 3 dogs per property. However, Working Dogs, Herding Dogs and LGDs are excluded from the definition of a 'Dog' in the bylaw entirely, explicitly exempting them from the limit.",305
Cambridge,Waterloo,SUCCESS,,By-law 172-13,2013-09-24,COMPLETE,No,,No,,No,All dogs (older than 12 weeks/4 months of age) residing within the City of Cambridge are to be licensed and have their license tag affixed at all times.,Yes,No,Maximum of three (3) dogs on property. Keeping more than three dogs requires a kennel licence.,A strictly urban-focused by-law enforced by the Cambridge & District Humane Society. No exemptions or specific provisions for farm dogs or LGDs were found.,By-law 172-13,2013-09-24,COMPLETE,No,,No,,No,All dogs (older than 12 weeks/4 months of age) residing within the City of Cambridge are to be licensed and have their license tag affixed at all times.,Yes,No,Maximum of three (3) dogs on property. Keeping more than three dogs requires a kennel licence.,396
Cavan Monaghan,Peterborough,SUCCESS,,By-law No. 2023-85,2023-11-20,COMPLETE - FARM FRIENDLY,No,,No,,No,Every person who is provided with a tag... shall ensure that the tag is affixed to the collar of the dog in such a manner that the tag can identify such dog to any person at all times.,Yes,Yes,"Maximum of three (3) dogs within any single detached dwelling, or two (2) dogs per dwelling unit. These limits shall not apply to a property which is zoned Agricultural, possesses a valid kennel license, or an approved veterinary office.",URL: https://www.cavanmonaghan.net/media/kjfbhhqi/by-law-no-2023-85.pdf. Extremely farm-friendly by broadly exempting all properties zoned Agricultural from the standard 3-dog limit. Noise By-law No. 2022-21 excludes noises generated by farm equipment and animals.,By-law No. 2023-85,2023-11-20,COMPLETE - FARM FRIENDLY,No,,No,,No,Every person who is provided with a tag... shall ensure that the tag is affixed to the collar of the dog in such a manner that the tag can identify such dog to any person at all times.,Yes,Yes,"Maximum of three (3) dogs within any single detached dwelling, or two (2) dogs per dwelling unit. These limits shall not apply to a property which is zoned Agricultural, possesses a valid kennel license, or an approved veterinary office.",438
Centre Wellington,Wellington,SUCCESS,,By-law 2019-70,2019-11-18,COMPLETE - FARM FRIENDLY,No,,Yes,"“Farm Dog” means a dog which is actively herding farm animals on agricultural property, such as cattle or sheep;",No,An owner of a dog shall keep the tag issued by the Township securely fixed on the dog for which it was issued at all times.,Yes,N/A,"No person shall keep or harbour or permit to be kept or harboured at any one time, more than three (3) dogs on a property. This limit does not apply to the owner of an Agricultural property that is actively being used for agricultural purposes.",URL: https://www.centrewellington.ca/media/32rgywui/19-70.pdf. The bylaw defines 'Farm Dog' to include herding dogs and exempts them from 'running at large' restrictions if active in their trained duties. It also explicitly exempts actively used agricultural properties from the 3-dog limit.,By-law 2019-70,2019-11-18,COMPLETE - FARM FRIENDLY,No,"“Farm Dog” means a dog which is actively herding farm animals on agricultural property, such as cattle or sheep;",Yes,"“Farm Dog” means a dog which is actively herding farm animals on agricultural property, such as cattle or sheep;",No,An owner of a dog shall keep the tag issued by the Township securely fixed on the dog for which it was issued at all times.,Yes,No,"No person shall keep or harbour or permit to be kept or harboured at any one time, more than three (3) dogs on a property. This limit does not apply to the owner of an Agricultural property that is actively being used for agricultural purposes.",487
